,MJ,MJ,MJ,MJ,MJ,SPY,SPY,SPY,SPY,SPY
,open,high,low,close,volume,open,high,low,close,volume
date,,,,,,,,,,
2018-09-21,42.7,42.86,39.23,39.5,2412714,293.09,293.22,291.81,291.99,105479656
2018-09-24,38.32,39.86,37.35,39.27,1311741,291.34,291.5,290.37,291.02,53409645
2018-09-25,40.8,40.95,39.2,39.36,1106105,291.53,291.65,290.48,290.75,44370037
2018-09-26,40.05,40.15,38.74,38.94,892297,290.91,292.24,289.41,289.88,79739674
2018-09-27,39.0,39.24,38.21,38.72,979067,290.41,291.91,290.1,290.69,59249455
2018-09-28,38.87,40.15,38.65,40.05,653563,289.99,291.28,289.95,290.72,70091385
2018-10-01,41.23,41.48,40.23,40.7,1024066,292.11,292.93,290.98,291.73,62078937
2018-10-02,40.42,40.52,38.46,38.66,899835,291.56,292.36,291.14,291.56,47258227
2018-10-03,39.3,40.16,38.5,40.04,706741,292.74,293.21,291.32,291.72,64694594
2018-10-04,39.86,40.04,38.5,39.09,630260,291.18,291.24,287.66,289.44,111545910
2018-10-05,39.74,39.85,37.81,38.82,603683,289.69,290.27,286.22,287.82,105951698
2018-10-08,39.19,39.6,38.5,39.41,628221,287.05,288.22,285.5,287.82,87742172
2018-10-09,39.99,39.99,39.03,39.24,586634,287.39,288.86,286.77,287.4,74338982
2018-10-10,40.0,40.0,37.5,38.23,943456,286.83,286.91,277.88,278.3,214731042
2018-10-11,37.62,38.0,37.21,37.42,672305,277.08,278.9,270.36,272.17,274840491
2018-10-12,38.85,39.32,38.1,39.23,900937,276.77,277.09,272.37,275.95,183186492
2018-10-15,39.99,42.58,39.86,42.48,1730218,275.55,277.04,274.3,274.4,102263717
2018-10-16,44.2,44.29,40.29,40.9,2007810,276.6,280.82,276.07,280.4,118255834
2018-10-17,39.7,40.16,37.87,39.71,1457085,280.44,281.15,277.56,280.45,110625987
2018-10-18,39.95,40.66,39.2,39.4,884976,279.4,280.07,274.97,276.4,134557525
2018-10-19,39.87,40.2,36.79,37.5,1484508,277.13,279.3,275.47,276.25,139901634
2018-10-22,37.6,37.62,33.13,33.99,2459997,277.0,277.36,274.41,275.01,82415812
2018-10-23,31.36,34.31,30.95,33.01,1893834,270.95,274.87,268.61,273.61,146352719
2018-10-24,33.88,34.09,31.27,31.43,1036679,273.33,273.76,264.7,265.32,177806697
2018-10-25,31.41,33.14,31.31,32.27,945737,267.38,271.81,266.23,270.08,138061545
2018-10-26,31.85,32.83,31.31,31.99,658248,265.92,271.0,262.29,265.33,201574596
2018-10-29,32.38,32.81,28.61,29.22,1206187,268.8,270.25,259.85,263.86,160749101
2018-10-30,28.31,30.27,28.21,29.74,851951,263.67,268.12,263.12,267.77,157115995
2018-10-31,30.44,31.38,30.03,31.02,865392,270.65,273.23,270.12,270.63,128296325
2018-11-01,31.44,32.0,30.81,31.81,603792,271.6,273.73,270.38,273.51,99495037
2018-11-02,32.05,32.38,31.57,32.3,606222,274.75,275.23,269.59,271.89,122634107
2018-11-05,32.54,33.54,31.96,33.42,749612,272.44,274.01,271.35,273.39,65622482
2018-11-06,33.52,34.9,32.88,34.28,1359011,273.32,275.3,273.25,275.12,60085894
2018-11-07,35.35,36.97,34.04,36.7,2726189,277.56,281.1,277.08,281.01,102752099
2018-11-08,36.1,36.15,34.25,34.46,1224958,280.11,281.22,279.22,280.5,65584886
2018-11-09,34.0,34.05,32.5,32.51,792742,279.03,279.24,276.18,277.76,98812561
2018-11-12,33.29,33.29,31.1,31.87,806738,277.19,277.46,271.99,272.57,99673574
2018-11-13,31.49,31.96,30.67,30.85,589488,273.09,275.33,271.25,272.06,98176610
2018-11-14,30.22,30.53,28.61,29.5,1287038,274.16,274.61,268.45,270.2,125335931
2018-11-15,29.58,31.59,29.39,31.17,638553,268.78,273.54,267.01,273.02,135101437
2018-11-16,31.14,31.61,30.6,30.64,361143,271.79,274.75,271.21,273.73,126668040
2018-11-19,30.61,30.61,29.25,29.5,541798,273.05,273.38,268.07,269.1,103061706
2018-11-20,28.5,29.8,28.2,28.9,650398,265.36,267.0,263.15,264.12,136021311
2018-11-21,29.49,30.0,29.25,29.7,476807,265.86,267.15,265.01,265.02,75563743
2018-11-23,29.59,30.15,29.29,30.05,339189,263.18,264.82,263.07,263.25,42807878
2018-11-26,30.44,30.86,28.87,29.01,468205,265.78,267.75,265.34,267.5,79981362
2018-11-27,29.0,29.35,28.52,28.65,375002,266.34,268.4,265.66,268.4,75502441
2018-11-28,28.94,29.77,28.9,29.77,513924,269.6,274.58,268.33,274.58,127629633
2018-11-29,29.7,29.78,28.9,29.29,290894,273.71,275.55,272.43,273.98,82346420
2018-11-30,29.36,29.41,28.77,29.36,368371,273.81,276.28,273.45,275.65,98204190
2018-12-03,29.85,30.84,28.35,29.1,2254557,280.28,280.4,277.51,279.3,103017719
2018-12-04,29.2,29.41,28.0,28.1,628267,278.37,278.85,269.9,270.25,177986013
2018-12-06,26.4,27.76,26.1,27.55,921240,265.92,269.97,262.44,269.84,204185411
2018-12-07,29.9,29.9,28.59,28.92,963988,269.46,271.22,262.63,263.57,161018923
2018-12-10,28.92,29.43,27.89,28.6,745929,263.37,265.16,258.62,264.07,151445885
2018-12-11,28.9,29.19,28.46,29.08,590967,267.66,267.87,262.48,264.13,121504431
2018-12-12,29.26,29.39,28.32,28.39,634863,267.47,269.0,265.37,265.46,97976706
2018-12-13,28.67,28.78,27.12,27.45,678754,266.52,267.49,264.12,265.37,96662717
2018-12-14,27.0,27.85,26.65,27.23,412145,262.96,264.03,259.85,260.47,116961071
2018-12-17,27.08,27.49,26.15,26.4,649985,259.4,260.65,253.53,255.36,165492257
2018-12-18,26.59,26.93,26.15,26.55,441829,257.2,257.95,253.28,255.08,134515094
2018-12-19,26.75,26.97,25.63,25.85,520549,255.17,259.4,249.35,251.26,214992763
2018-12-20,26.12,26.19,24.86,25.27,820692,249.86,251.62,244.65,247.17,252053377
2018-12-21,25.72,25.72,23.98,24.18,1441177,246.74,249.71,239.98,240.7,255345633
2018-12-24,23.3,24.0,23.01,23.66,699742,239.04,240.84,234.27,234.34,147311588
2018-12-26,23.93,24.18,23.34,24.18,574302,235.97,246.18,233.76,246.18,218485360
2018-12-27,24.1,24.32,23.26,24.14,490890,242.57,248.29,238.96,248.07,186267342
2018-12-28,24.48,25.46,24.15,25.15,777804,249.58,251.4,246.45,247.75,153100189
2018-12-31,25.53,25.7,24.75,24.94,732701,249.56,250.19,247.47,249.92,144299370
2019-01-02,24.74,26.5,24.55,26.42,802419,245.98,251.21,245.95,250.18,126925199
2019-01-03,26.4,27.18,26.02,26.44,665519,248.23,248.57,243.67,244.21,144140692
2019-01-04,26.88,27.3,26.72,27.09,483646,247.59,253.11,247.17,252.39,142628834
2019-01-07,27.5,27.84,27.1,27.84,643403,252.69,255.95,251.69,254.38,103139100
2019-01-08,28.14,28.29,27.1,27.8,664943,256.82,257.31,254.0,256.77,102512587
2019-01-09,28.0,29.13,27.81,28.99,827003,257.56,258.91,256.19,257.97,95006554
2019-01-10,28.98,30.0,28.6,29.59,1042188,256.26,259.16,255.5,258.88,96823923
2019-01-11,29.88,31.32,29.58,30.78,1364542,257.68,259.01,257.03,258.98,73858110
2019-01-14,30.84,31.51,30.4,31.29,1097200,256.86,258.3,256.41,257.4,70908227
2019-01-15,31.5,31.58,30.03,30.28,1094522,257.82,260.7,257.81,260.35,85208271
2019-01-16,30.54,30.89,30.2,30.68,626345,260.83,261.97,260.6,260.98,77636710
2019-01-17,30.4,30.9,30.11,30.6,540000,260.01,263.92,259.96,262.96,96118435
2019-01-18,30.95,31.3,30.61,31.02,814064,264.98,266.98,263.0,266.46,127900303
2019-01-22,31.23,31.65,30.7,30.94,932041,264.82,265.06,261.06,262.86,115531183
2019-01-23,31.27,31.32,30.1,30.65,490581,264.01,264.79,260.66,263.41,86030287
2019-01-24,30.6,31.24,30.5,31.21,541280,263.21,264.2,262.08,263.55,59204139
2019-01-25,31.8,32.1,31.3,32.0,972596,265.61,266.7,263.66,265.78,96883358
2019-01-28,31.83,33.83,31.52,33.8,1442961,263.39,263.83,261.79,263.76,85613655
2019-01-29,33.97,34.39,32.64,33.23,1369539,263.92,264.55,262.48,263.41,66136334
2019-01-30,33.47,34.12,33.12,33.81,1072650,265.1,268.52,264.25,267.58,92473671
2019-01-31,34.18,35.2,33.89,35.16,978682,267.51,270.47,267.27,269.93,104012073
2019-02-01,35.58,36.38,35.55,35.86,1564475,270.15,271.2,269.18,270.06,85782524
2019-02-04,36.48,38.35,36.27,37.27,2552415,270.11,272.03,269.36,271.96,60744844
2019-02-05,37.26,37.7,35.71,36.57,1870554,272.44,273.44,271.88,273.1,79552774
2019-02-06,36.0,36.21,34.01,34.65,2038958,272.79,273.34,271.92,272.74,58347791
2019-02-07,34.0,35.48,33.65,35.22,1333479,270.94,271.55,268.29,270.14,95481961
2019-02-08,35.28,35.47,34.22,34.33,1241039,268.75,270.58,267.83,270.47,75788861
2019-02-11,34.7,34.76,33.27,33.53,1118104,271.2,271.49,270.03,270.62,68021423
2019-02-12,33.3,34.65,32.96,34.4,875983,272.42,274.52,272.34,274.1,72270221
2019-02-13,34.82,35.14,34.67,34.93,1140161,275.03,275.93,274.56,274.99,65277204
2019-02-14,34.98,35.0,34.52,34.94,519517,273.78,275.64,272.87,274.38,83234396
2019-02-15,35.55,35.91,35.01,35.69,1127607,276.36,277.41,276.13,277.37,97088659
2019-02-19,35.4,35.71,35.25,35.63,971709,276.48,278.58,276.47,277.85,59120804
2019-02-20,35.76,36.28,35.7,36.23,1152797,277.81,278.92,277.25,278.41,76610767
2019-02-21,36.21,36.62,35.95,36.11,828200,277.7,278.1,276.35,277.42,64214727
2019-02-22,36.46,36.64,36.0,36.54,574258,278.11,279.36,277.4,279.14,78114616
2019-02-25,36.7,36.74,36.02,36.13,774532,280.73,281.31,279.43,279.52,69030699
2019-02-26,36.1,36.94,35.9,36.83,771916,279.13,280.3,278.9,279.32,56844101
2019-02-27,37.15,37.36,36.59,37.08,909094,278.52,279.59,277.48,279.2,56921570
2019-02-28,37.12,37.35,37.0,37.09,905820,278.96,279.45,278.32,278.68,69268293
2019-03-01,37.38,37.45,36.7,37.12,693734,280.44,280.88,278.82,280.42,78880548
2019-03-04,37.38,37.41,35.95,36.65,1033694,281.6,281.87,276.84,279.4,106494637
2019-03-05,37.0,37.57,36.36,37.28,744243,279.54,279.76,278.41,279.02,59114559
2019-03-06,37.35,37.65,36.31,36.67,777086,279.15,279.16,276.97,277.33,75039771
2019-03-07,36.68,36.83,35.6,35.63,820700,276.83,276.99,274.07,275.01,94885089
2019-03-08,34.8,35.8,34.5,35.68,849146,272.94,274.65,272.42,274.46,85795799
2019-03-11,35.85,36.36,35.74,36.32,567874,275.26,278.62,275.23,278.44,65098897
2019-03-12,36.36,37.03,36.12,36.57,890378,279.06,280.07,278.85,279.49,79667530
2019-03-13,37.28,37.5,36.66,36.9,881970,280.48,282.38,280.3,281.34,80639153
2019-03-14,37.01,37.06,36.5,36.8,572738,281.37,281.84,280.67,281.16,67518366
2019-03-15,37.3,37.38,36.65,37.35,1028054,280.54,282.21,280.33,281.31,81308979
2019-03-18,37.4,38.37,37.36,38.34,1525442,281.55,282.66,281.3,282.33,62199806
2019-03-19,39.0,39.25,38.64,38.74,2192632,283.51,284.36,281.41,282.4,90268121
2019-03-20,38.73,38.89,38.0,38.37,1029936,282.16,283.5,280.32,281.55,84609210
2019-03-21,38.26,38.57,38.04,38.44,714956,280.64,285.18,280.59,284.73,79550375
2019-03-22,38.1,38.23,36.68,36.83,1315959,283.22,283.8,279.18,279.25,122659286
2019-03-25,36.66,37.48,36.4,37.05,989024,278.87,280.19,277.64,279.04,85575197
2019-03-26,37.08,37.38,36.92,37.3,610470,280.99,282.18,279.56,281.12,68125920
2019-03-27,37.18,37.29,35.54,36.14,981875,281.11,281.76,277.93,279.65,72224722
2019-03-28,36.1,36.41,35.13,36.05,790907,280.35,281.21,279.07,280.71,56238545
2019-03-29,36.36,36.6,36.06,36.37,598841,282.39,282.84,281.14,282.48,82186806
2019-04-01,36.7,36.8,36.17,36.63,715256,284.7,286.16,284.4,285.83,77617945
2019-04-02,36.71,36.74,36.13,36.38,459373,286.04,286.23,285.09,285.97,40070351
2019-04-03,36.5,36.6,35.87,35.96,725167,287.32,287.76,285.75,286.42,68243202
2019-04-04,36.4,36.4,35.6,35.92,540812,286.78,287.46,286.01,287.18,48997505
2019-04-05,36.1,36.34,36.03,36.3,421786,287.92,288.63,287.6,288.57,58621729
2019-04-08,36.32,36.43,35.8,35.87,565296,288.1,288.91,287.37,288.79,53566335
2019-04-09,35.8,35.92,35.13,35.27,702247,287.72,288.08,286.7,287.31,66142316
2019-04-10,35.28,35.95,35.27,35.9,422132,287.77,288.39,287.31,288.29,52601499
2019-04-11,35.9,35.91,34.7,34.99,794634,288.83,288.84,287.58,288.21,55093100
2019-04-12,35.21,35.53,34.99,35.09,575796,290.0,290.47,288.26,290.16,69727782
2019-04-15,35.0,35.09,33.77,33.9,1122175,290.24,290.35,289.08,289.97,49596685
2019-04-16,34.0,34.54,33.95,34.14,551698,290.95,291.01,289.5,290.16,52153197
2019-04-17,34.43,34.66,33.89,34.09,949200,291.4,291.43,288.99,289.45,58268295
2019-04-18,34.93,34.94,33.75,33.88,821561,290.1,290.32,288.66,290.02,68708513
2019-04-22,34.0,34.92,33.9,34.91,760204,289.17,290.44,289.07,290.27,40160140
2019-04-23,35.0,35.0,34.52,34.85,670384,290.68,293.14,290.42,292.88,52246633
2019-04-24,34.85,35.15,34.56,34.94,588254,292.79,293.16,292.07,292.23,50392914
2019-04-25,34.76,34.84,34.48,34.62,394118,292.12,292.78,290.73,292.05,57770862
2019-04-26,34.65,35.31,34.62,35.31,463694,292.1,293.49,291.24,293.41,50916423
2019-04-29,35.43,35.93,35.16,35.9,561954,293.51,294.45,293.41,293.87,57197747
2019-04-30,35.95,36.22,35.37,35.66,426554,293.49,294.34,291.92,294.02,81111733
2019-05-01,35.75,35.99,35.36,35.48,511680,294.72,294.95,291.8,291.81,71671870
2019-05-02,35.56,35.57,34.28,34.86,723263,291.68,292.7,289.52,291.18,65030170
2019-05-03,35.05,35.46,34.95,35.43,376950,292.82,294.34,291.3,294.03,56543653
2019-05-06,34.7,35.66,34.49,35.51,399258,289.25,293.31,288.9,292.82,107198069
2019-05-07,35.55,35.69,34.53,34.76,540802,290.15,290.81,285.81,287.93,144729908
2019-05-08,34.65,35.0,34.55,34.67,412595,287.53,289.43,286.87,287.53,91568287
2019-05-09,34.6,34.62,33.77,34.02,546925,285.23,287.33,283.3,286.66,103471104
2019-05-10,33.95,34.38,33.53,34.3,493882,285.62,288.94,282.3,288.1,112429293
2019-05-13,33.64,33.67,32.25,32.52,963592,282.42,283.49,279.93,280.86,127290527
2019-05-14,32.85,33.58,32.73,33.29,867225,281.99,285.1,281.85,283.4,77003230
2019-05-15,33.25,33.94,32.9,33.85,550996,281.59,285.77,281.36,285.06,73956407
2019-05-16,34.1,34.24,33.88,33.88,354835,285.84,289.21,285.76,287.7,76749643
2019-05-17,33.7,34.12,33.51,33.67,641137,285.14,288.6,285.12,285.84,100353024
2019-05-20,33.5,33.55,33.0,33.25,333384,284.06,285.43,283.12,283.95,62877610
2019-05-21,33.65,33.99,33.55,33.89,325811,285.83,286.93,285.55,286.51,46847085
2019-05-22,33.95,34.55,33.8,34.07,297125,285.45,286.69,285.1,285.63,49482472
2019-05-23,33.83,34.0,32.92,33.03,351484,283.16,283.21,280.57,282.14,98733847
