date,BOOZ,SMOK,MJ,XBI,XPH,SPY
2019-09-21 16:00:00,102.44,59.58,24.59,82.79,37.3,300.16
2019-09-16 00:00:00,102.44,59.58,24.59,83.86,37.64,300.16
2019-09-13 00:00:00,103.16,60.09,25.22,82.42,37.31,301.09
2019-09-12 00:00:00,103.86,62.18,25.08,82.63,37.37,301.29
2019-09-11 00:00:00,102.83,62.38,25.71,83.38,37.6,300.25
2019-09-10 00:00:00,102.65,61.85,25.49,81.73,36.95,298.13
2019-09-09 00:00:00,103.71,61.07,25.02,79.32,35.79,298.2
2019-09-06 00:00:00,103.36,60.79,25.73,79.47,35.87,298.05
2019-09-05 00:00:00,102.66,60.19,25.33,80.34,35.36,297.82
2019-09-04 00:00:00,104.65,61.01,24.28,79.17,35.13,294.04
2019-09-03 00:00:00,103.51,60.69,24.65,78.66,35.03,290.74
2019-08-30 00:00:00,103.44,60.23,24.01,80.37,35.46,292.45
2019-08-29 00:00:00,102.95,60.81,24.26,81.11,35.53,292.58
2019-08-28 00:00:00,101.98,62.4,24.04,80.06,35.19,288.89
2019-08-27 00:00:00,101.29,60.62,23.8,78.92,34.91,286.87
2019-08-26 00:00:00,101.9,64.93,24.7,80.2,35.67,288.0
2019-08-23 00:00:00,101.13,66.69,24.78,79.44,35.39,284.85
2019-08-22 00:00:00,102.33,67.78,25.41,81.62,36.34,292.36
2019-08-21 00:00:00,102.55,67.7,26.01,83.26,36.56,292.45
2019-08-20 00:00:00,101.78,67.58,25.8,82.47,36.3,290.09
2019-08-19 00:00:00,101.9,69.04,25.98,83.39,36.58,292.33
2019-08-16 00:00:00,101.88,68.89,26.25,82.46,35.92,288.85
2019-08-15 00:00:00,99.93,68.24,25.71,80.33,35.45,284.65
2019-08-14 00:00:00,98.83,67.71,27.12,81.25,35.7,283.9
2019-08-13 00:00:00,100.79,68.45,28.92,83.61,36.89,292.55
2019-08-12 00:00:00,101.03,67.2,28.23,82.47,36.4779,288.07
2019-08-09 00:00:00,102.1,67.39,28.55,84.03,37.07,291.62
2019-08-08 00:00:00,101.96,67.47,28.71,84.8,37.52,293.62
2019-08-07 00:00:00,101.42,66.7,28.49,83.33,36.77,287.97
2019-08-06 00:00:00,100.54,66.65,28.24,83.08,36.72,287.8
2019-08-05 00:00:00,100.15,66.22,27.5,81.29,36.61,283.82
2019-08-02 00:00:00,102.66,69.05,28.33,84.02,37.69,292.62
2019-08-01 00:00:00,103.47,68.01,27.02,85.91,37.95,294.84
2019-07-31 00:00:00,103.94,68.37,28.08,85.68,37.97,297.43
