"date","close","volume","open","high","low"
"16:00","4.69","10,130,632","4.64","4.72","4.63"
"2019/09/16","4.6900","10865300.0000","4.6400","4.7200","4.6300"
"2019/09/13","4.6600","23954290.0000","4.7700","4.8100","4.6500"
"2019/09/12","4.7900","32800450.0000","4.7400","4.8000","4.7000"
"2019/09/11","4.6500","21383890.0000","4.6600","4.7599","4.6100"
"2019/09/10","4.6000","19608990.0000","4.5900","4.6700","4.5400"
"2019/09/09","4.6000","12381060.0000","4.5800","4.6350","4.5800"
"2019/09/06","4.6100","17169790.0000","4.6300","4.6600","4.5600"
"2019/09/05","4.5800","18406220.0000","4.6300","4.6650","4.5600"
"2019/09/04","4.5800","19266280.0000","4.5000","4.6000","4.5000"
"2019/09/03","4.4400","29304440.0000","4.4300","4.5400","4.4100"
"2019/08/30","4.5400","28067590.0000","4.4900","4.5700","4.4900"
"2019/08/29","4.4800","23878290.0000","4.3900","4.4800","4.3750"
"2019/08/28","4.3900","22232000.0000","4.3500","4.4000","4.3100"
"2019/08/27","4.3700","31087430.0000","4.3800","4.4500","4.3100"
"2019/08/26","4.3700","18156790.0000","4.4300","4.4600","4.3200"
"2019/08/23","4.4200","40149210.0000","4.5600","4.5800","4.3800"
"2019/08/22","4.5900","34969990.0000","4.6300","4.6700","4.4900"
"2019/08/21","4.6500","22464250.0000","4.7000","4.7100","4.6400"
"2019/08/20","4.6600","17027480.0000","4.6500","4.7300","4.6350"
"2019/08/19","4.6700","20635270.0000","4.7500","4.7600","4.6650"
"2019/08/16","4.7000","21250590.0000","4.6800","4.7400","4.6550"
"2019/08/15","4.6400","34098220.0000","4.7300","4.7400","4.5900"
"2019/08/14","4.6800","25831270.0000","4.7700","4.8000","4.6600"
"2019/08/13","4.8700","25557050.0000","4.8300","4.9400","4.8100"
"2019/08/12","4.8800","25714710.0000","4.8700","4.9000","4.8200"
"2019/08/09","5.0500","27518210.0000","5.1100","5.1200","5.0500"
"2019/08/08","5.1000","48231590.0000","5.1200","5.1700","5.0800"
"2019/08/07","5.2100","27392900.0000","5.0500","5.2162","5.0250"
"2019/08/06","5.1500","24527780.0000","5.1200","5.1700","5.0300"
"2019/08/05","5.0900","23862820.0000","5.1500","5.1700","5.0500"
"2019/08/02","5.2400","19844560.0000","5.2800","5.3100","5.2100"
"2019/08/01","5.2900","34617980.0000","5.2800","5.4000","5.2500"
"2019/07/31","5.2700","32962680.0000","5.3200","5.3600","5.1650"
"2019/07/30","5.3200","28687770.0000","5.4200","5.4500","5.3100"
"2019/07/29","5.4000","35419780.0000","5.2300","5.4300","5.2000"
"2019/07/26","5.2400","21620750.0000","5.2000","5.2700","5.1400"
"2019/07/25","5.1600","53426240.0000","5.0900","5.1950","5.0400"
"2019/07/24","4.7300","18433130.0000","4.7900","4.8200","4.7200"
"2019/07/23","4.7900","16716850.0000","4.8100","4.8400","4.7700"
"2019/07/22","4.7700","20402310.0000","4.8500","4.8600","4.7600"
"2019/07/19","4.8000","22680600.0000","4.9200","4.9300","4.8000"
"2019/07/18","4.8500","16323780.0000","4.7600","4.8850","4.7500"
"2019/07/17","4.7400","14710680.0000","4.7700","4.8300","4.7400"
"2019/07/16","4.7800","18581090.0000","4.8500","4.8600","4.7600"
"2019/07/15","4.8300","29021410.0000","4.8600","4.9000","4.8000"
"2019/07/12","4.8400","50633780.0000","4.9000","4.9250","4.8300"
"2019/07/11","4.9500","27402070.0000","5.0800","5.0900","4.9150"
"2019/07/10","5.0500","36500510.0000","5.0700","5.0700","4.9800"
"2019/07/09","4.9600","14064620.0000","4.9100","4.9900","4.8975"
"2019/07/08","4.9400","30062250.0000","5.0000","5.0100","4.8900"
"2019/07/05","4.9700","32598530.0000","4.9100","4.9800","4.8640"
"2019/07/03","4.8200","25311170.0000","4.7400","4.8700","4.7400"
"2019/07/02","4.7000","29151580.0000","4.6500","4.7650","4.5850"
"2019/07/01","4.6300","28598860.0000","4.7400","4.7400","4.6000"
"2019/06/28","4.6700","20768570.0000","4.7300","4.7500","4.6500"
"2019/06/27","4.7100","26697870.0000","4.6600","4.7100","4.6000"
"2019/06/26","4.7000","27089150.0000","4.7400","4.7700","4.6600"
"2019/06/25","4.7500","23980080.0000","4.7700","4.8200","4.7000"
"2019/06/24","4.8200","15969080.0000","4.8000","4.8400","4.7800"
"2019/06/21","4.8100","31790510.0000","4.8100","4.8600","4.7950"
"2019/06/20","4.8200","13904910.0000","4.7900","4.8650","4.7800"
"2019/06/19","4.7500","29055690.0000","4.6700","4.7600","4.6547"
"2019/06/18","4.6900","16551620.0000","4.6000","4.7000","4.6000"
"2019/06/17","4.5500","25615180.0000","4.5300","4.6100","4.5250"
"2019/06/14","4.5100","24640150.0000","4.6100","4.6500","4.5100"
"2019/06/13","4.6400","17094010.0000","4.6200","4.6700","4.6000"
"2019/06/12","4.5400","17706470.0000","4.5800","4.6400","4.5200"
