"date","close","volume","open","high","low"
"16:00","203.84","701,978","203.66","204.75","202.28"
"2019/09/16","203.8400","709251.0000","203.6700","204.7500","202.2800"
"2019/09/13","204.0700","595124.0000","204.8400","205.8800","203.5400"
"2019/09/12","203.9700","1124932.0000","206.0000","207.0600","202.3400"
"2019/09/11","206.7700","979670.0000","208.1800","208.8800","205.3203"
"2019/09/10","208.1800","920261.0000","206.2200","208.7000","204.3500"
"2019/09/09","206.7500","1012150.0000","204.9800","207.5400","204.6000"
"2019/09/06","204.7500","955517.0000","204.7100","205.6200","203.6300"
"2019/09/05","204.9300","1025935.0000","212.0000","212.0000","204.5800"
"2019/09/04","210.1800","883815.0000","209.5000","211.9800","208.4550"
"2019/09/03","208.3500","899950.0000","203.3600","208.4700","202.2500"
"2019/08/30","204.3500","983397.0000","204.7200","205.2850","203.4300"
"2019/08/29","204.6300","761836.0000","202.8200","205.3000","202.6900"
"2019/08/28","201.8300","844248.0000","197.4600","202.3300","196.6300"
"2019/08/27","198.1900","987501.0000","201.9100","202.9500","197.8600"
"2019/08/26","202.4400","1147702.0000","200.0000","203.0300","197.5217"
"2019/08/23","198.5100","1018462.0000","200.7000","201.5200","197.6600"
"2019/08/22","201.6600","906504.0000","202.8800","203.7901","201.1500"
"2019/08/21","202.8500","682827.0000","203.8100","205.2900","202.8400"
"2019/08/20","202.4800","1143619.0000","201.5500","203.7400","201.5036"
"2019/08/19","201.8000","1044301.0000","200.0000","202.8300","198.9400"
"2019/08/16","198.7900","962674.0000","195.4900","199.8900","195.4900"
"2019/08/15","194.4000","1004820.0000","191.0000","194.9700","189.5100"
"2019/08/14","193.3600","1357687.0000","193.8900","196.2500","192.5000"
"2019/08/13","196.5300","939921.0000","192.0400","197.7900","192.0000"
"2019/08/12","193.0500","694956.0000","192.8200","194.3600","192.1203"
"2019/08/09","194.1500","1092211.0000","193.3000","196.5500","191.8700"
"2019/08/08","193.2600","850206.0000","189.0000","193.3700","187.0200"
"2019/08/07","188.1600","801564.0000","185.3700","188.7800","184.2950"
"2019/08/06","187.1900","1148318.0000","189.1900","189.6900","185.5100"
"2019/08/05","186.6900","1672328.0000","190.5100","191.3600","185.8700"
"2019/08/02","192.7400","818814.0000","194.3100","195.1900","192.4800"
"2019/08/01","193.6000","1366447.0000","196.6700","198.3234","191.6501"
"2019/07/31","196.8200","884059.0000","200.0800","200.5239","194.5700"
"2019/07/30","200.9500","875247.0000","197.3400","201.5565","196.4200"
"2019/07/29","199.0000","1146825.0000","204.1300","204.2200","197.2700"
"2019/07/26","203.9200","739713.0000","203.7500","205.5900","202.6600"
"2019/07/25","203.0100","638936.0000","204.0400","204.6500","201.1350"
"2019/07/24","204.0900","667622.0000","201.9300","204.3800","201.3200"
"2019/07/23","202.2900","683642.0000","201.1500","203.1900","200.7400"
"2019/07/22","201.1700","1073098.0000","202.1700","203.5600","198.8900"
"2019/07/19","201.5700","1029240.0000","202.4500","204.0000","200.9400"
"2019/07/18","202.6000","823487.0000","199.8900","203.1600","199.2300"
"2019/07/17","199.3800","879402.0000","198.5600","199.8000","197.7700"
"2019/07/16","197.8800","1016781.0000","199.5600","199.6250","197.0900"
"2019/07/15","198.5900","812393.0000","199.7100","199.7100","197.4901"
"2019/07/12","199.6000","1213699.0000","197.8900","201.5000","197.6200"
"2019/07/11","197.6700","970619.0000","200.7800","201.8900","196.8300"
"2019/07/10","200.7900","1218356.0000","197.7500","201.9300","197.7500"
"2019/07/09","198.0400","2194168.0000","199.3600","199.5900","194.5600"
"2019/07/08","200.1000","1109451.0000","197.0400","200.2500","196.2600"
"2019/07/05","197.4900","652181.0000","198.9600","199.1973","196.3600"
"2019/07/03","199.9000","917141.0000","199.1000","200.2300","196.3500"
"2019/07/02","198.6600","1172431.0000","196.0700","198.9800","195.7863"
"2019/07/01","196.0900","2530407.0000","199.0000","200.0000","193.1300"
"2019/06/28","196.9400","7416027.0000","198.6200","200.5900","192.5300"
"2019/06/27","188.2100","2091365.0000","184.8200","189.0800","183.7600"
"2019/06/26","185.0200","1183332.0000","184.3200","185.7500","184.0600"
