"date","close","volume","open","high","low"
"16:00","9.09","101,444","9.17","9.365","9.06"
"2019/09/16","9.0900","101444.0000","9.1700","9.3650","9.0600"
"2019/09/13","9.2400","314010.0000","9.1800","9.3300","8.9410"
"2019/09/12","9.1300","203322.0000","9.4100","9.4100","9.0700"
"2019/09/11","9.3200","314118.0000","9.3100","9.4768","9.0600"
"2019/09/10","9.2700","152796.0000","9.3100","9.3600","9.1500"
"2019/09/09","9.3000","171521.0000","9.0000","9.3800","8.9300"
"2019/09/06","9.0200","259961.0000","9.1100","9.4200","8.7500"
"2019/09/05","9.2800","347043.0000","9.8900","9.8900","9.0600"
"2019/09/04","9.7800","114479.0000","9.8700","9.9500","9.6200"
"2019/09/03","9.7600","142075.0000","10.0000","10.0800","9.6750"
"2019/08/30","10.0500","101317.0000","10.1500","10.3100","9.9700"
"2019/08/29","10.1100","183895.0000","10.1700","10.2300","9.8998"
"2019/08/28","10.0300","146969.0000","9.9700","10.1900","9.8100"
"2019/08/27","9.9900","193316.0000","10.0600","10.3850","9.8000"
"2019/08/26","10.0200","375501.0000","10.2200","10.4250","9.7347"
"2019/08/23","10.2900","1023760.0000","11.9800","11.9800","10.2201"
"2019/08/22","12.9600","450134.0000","12.6000","13.0400","12.1100"
"2019/08/21","12.4700","206517.0000","12.9400","12.9400","12.4200"
"2019/08/20","12.7700","181751.0000","12.7800","13.1500","12.5300"
"2019/08/19","12.8500","145362.0000","13.6200","13.6200","12.7800"
"2019/08/16","13.5900","172404.0000","13.1600","13.7500","13.1600"
"2019/08/15","13.1200","114444.0000","12.8900","13.1299","12.7700"
"2019/08/14","12.7700","250616.0000","13.9300","13.9795","12.4900"
"2019/08/13","13.9700","120652.0000","13.7800","14.2500","13.6000"
"2019/08/12","13.7800","196807.0000","14.5200","14.6000","13.7400"
"2019/08/09","14.6900","131025.0000","15.6300","15.8500","14.6800"
"2019/08/08","15.7400","220108.0000","13.6300","15.8200","13.4500"
"2019/08/07","14.3400","125255.0000","14.3300","14.5300","13.8900"
"2019/08/06","14.5600","113939.0000","14.7300","14.9000","14.2500"
"2019/08/05","14.7000","91154.0000","15.0100","15.0500","14.6500"
"2019/08/02","15.2000","55565.0000","15.1000","15.3800","15.0000"
"2019/08/01","15.0800","122131.0000","15.6900","15.8460","14.9650"
"2019/07/31","15.7100","84400.0000","15.9500","16.0400","15.6000"
"2019/07/30","15.9900","146477.0000","15.7400","16.1113","15.6400"
"2019/07/29","16.1900","97157.0000","16.1200","16.2650","15.9800"
"2019/07/26","16.1600","81221.0000","15.7700","16.2900","15.7700"
"2019/07/25","15.6800","69861.0000","15.5000","15.7700","15.4350"
"2019/07/24","15.5000","57976.0000","15.3300","15.5200","15.0600"
"2019/07/23","15.3300","43728.0000","15.4900","15.5000","15.1900"
"2019/07/22","15.4400","33863.0000","15.6500","15.6500","15.3800"
"2019/07/19","15.6300","54725.0000","15.4200","15.9200","15.4200"
"2019/07/18","15.4700","59010.0000","15.4800","15.5800","15.3400"
"2019/07/17","15.4100","87551.0000","15.5100","15.6700","15.3500"
"2019/07/16","15.5200","69641.0000","15.2200","15.6500","15.2200"
"2019/07/15","15.2500","136434.0000","16.0700","16.1400","15.1800"
"2019/07/12","16.1200","132728.0000","16.8100","16.8650","15.9000"
"2019/07/11","16.7800","155693.0000","17.0200","17.1900","16.6400"
"2019/07/10","17.0200","415531.0000","15.5000","17.0399","15.4800"
