"date","close","volume","open","high","low"
"16:00","161.41","325,655","162.42","162.66","160.91"
"2019/09/16","161.4100","329741.0000","162.4100","162.6600","160.9100"
"2019/09/13","163.2400","426658.0000","162.5400","164.1600","162.3000"
"2019/09/12","166.5700","245471.0000","165.7200","167.2200","165.5600"
"2019/09/11","165.7900","327482.0000","164.6000","166.3800","164.5300"
"2019/09/10","164.4900","369712.0000","163.9800","165.0500","163.3900"
"2019/09/09","167.1300","271794.0000","167.1000","167.3100","165.9400"
"2019/09/06","169.9300","670363.0000","169.0900","171.1999","168.9400"
"2019/09/05","168.1700","878448.0000","173.4400","173.7000","167.5700"
"2019/09/04","175.9800","584284.0000","175.3900","176.2200","175.1700"
"2019/09/03","174.7200","376840.0000","173.6100","175.4200","173.3900"
"2019/08/30","171.2800","194717.0000","171.9900","172.0430","170.2900"
"2019/08/29","170.5200","211631.0000","170.0000","170.6400","169.6500"
"2019/08/28","169.0300","272348.0000","168.2700","169.1500","167.5000"
"2019/08/27","168.7600","291625.0000","168.1300","169.1600","167.6900"
"2019/08/26","166.9900","203051.0000","166.3400","167.3600","165.7400"
"2019/08/23","166.3700","358380.0000","168.8100","169.1900","166.0050"
"2019/08/22","168.1500","395175.0000","167.2000","168.3300","166.8485"
"2019/08/21","168.0300","607142.0000","169.1000","169.1900","167.7700"
"2019/08/20","166.7000","482616.0000","168.1900","168.3800","166.5200"
"2019/08/19","166.8600","377335.0000","167.7500","168.0800","166.7800"
"2019/08/16","167.6900","499030.0000","167.7800","167.9800","166.8400"
"2019/08/15","165.6400","275689.0000","165.7500","166.1800","164.8000"
"2019/08/14","162.7800","345774.0000","163.5300","164.2500","162.5800"
"2019/08/13","163.9200","229192.0000","163.7900","164.8200","163.6000"
"2019/08/12","164.7200","228801.0000","165.3600","165.8000","164.4700"
"2019/08/09","163.7200","342293.0000","164.1100","164.4400","163.1400"
"2019/08/08","163.5800","361977.0000","161.2100","163.8875","160.9900"
"2019/08/07","164.9200","320818.0000","163.8700","165.6800","163.5100"
"2019/08/06","163.7400","223086.0000","163.6900","164.3000","162.8700"
"2019/08/05","163.2800","480882.0000","165.6600","166.0100","162.3700"
"2019/08/02","166.8200","407821.0000","168.2900","168.5000","166.4900"
