"date","close","volume","open","high","low"
"16:00","92.93","251,639","93.23","93.98","92.50"
"2019/09/16","92.9300","255617.0000","93.4200","93.9800","92.5000"
"2019/09/13","93.6100","480944.0000","92.6500","94.4400","92.6500"
"2019/09/12","92.9000","357375.0000","93.3500","94.2300","92.3600"
"2019/09/11","92.8000","195847.0000","92.7800","93.4400","92.0300"
"2019/09/10","92.9600","301320.0000","92.8700","94.2200","92.4710"
"2019/09/09","93.2600","178564.0000","93.1300","93.8200","92.7800"
"2019/09/06","93.4500","305616.0000","93.3800","93.6600","92.8700"
"2019/09/05","92.2200","305059.0000","92.4000","93.3700","91.9300"
"2019/09/04","91.8900","375844.0000","90.3500","92.2700","90.3500"
"2019/09/03","89.9600","215782.0000","90.7300","90.7300","89.6600"
"2019/08/30","91.3600","382658.0000","89.3200","91.5700","89.0000"
"2019/08/29","89.2700","282428.0000","89.1000","89.6600","88.6450"
"2019/08/28","89.2100","165835.0000","88.3400","89.2500","88.0900"
"2019/08/27","88.5700","265480.0000","88.9900","90.0400","88.1700"
"2019/08/26","88.8000","197181.0000","88.7300","89.4000","88.1500"
"2019/08/23","88.2100","271684.0000","88.8100","89.1700","87.9200"
"2019/08/22","88.6700","169804.0000","88.5800","89.3100","88.3450"
"2019/08/21","88.8400","415092.0000","88.9400","89.2400","88.2100"
"2019/08/20","88.1700","206281.0000","87.7800","88.9100","87.4200"
"2019/08/19","87.7800","213004.0000","89.2200","89.2200","87.6500"
"2019/08/16","88.7100","327039.0000","86.7900","88.9000","86.7900"
"2019/08/15","86.4000","377287.0000","85.6200","87.1590","84.8500"
"2019/08/14","85.0600","372561.0000","86.0300","86.8800","84.9800"
"2019/08/13","87.3800","456006.0000","87.9000","88.5600","86.7500"
"2019/08/12","88.0600","283919.0000","89.0700","90.2400","87.2350"
"2019/08/09","89.7800","253922.0000","89.4100","90.2500","88.8500"
"2019/08/08","89.1300","470876.0000","89.0300","89.3000","88.0350"
"2019/08/07","88.3500","531773.0000","86.8300","88.7138","85.9000"
"2019/08/06","86.9700","355943.0000","86.3400","87.2600","86.0550"
"2019/08/05","85.8800","266040.0000","87.2500","87.2500","85.6800"
"2019/08/02","88.4700","337656.0000","89.4300","89.4300","87.9600"
"2019/08/01","89.6200","384328.0000","90.5900","91.7800","89.4800"
"2019/07/31","90.7000","514686.0000","91.6100","91.9800","89.2400"
"2019/07/30","91.1400","223834.0000","93.2300","93.2300","91.1000"
"2019/07/29","93.2500","392407.0000","91.5200","93.4300","90.5400"
"2019/07/26","91.6000","377427.0000","92.2500","93.7600","90.9700"
"2019/07/25","91.0900","367938.0000","92.2800","94.3650","90.5550"
"2019/07/24","92.0000","192581.0000","91.7200","92.7700","91.3200"
"2019/07/23","91.9500","436370.0000","93.0000","93.0100","91.3700"
"2019/07/22","92.2200","452238.0000","94.4800","94.7000","92.0400"
"2019/07/19","94.1200","165552.0000","94.6000","94.9750","93.5600"
"2019/07/18","94.0300","333747.0000","95.6000","95.6100","93.6100"
"2019/07/17","95.4500","248525.0000","96.6000","97.1650","95.3800"
"2019/07/16","96.7900","181390.0000","98.0000","98.3100","96.5000"
"2019/07/15","98.1300","305945.0000","97.4200","98.5200","97.4200"
"2019/07/12","97.4200","221550.0000","97.6700","97.7700","96.0600"
"2019/07/11","97.2300","295112.0000","97.3400","97.6400","96.7400"
"2019/07/10","96.9000","263375.0000","96.1300","97.1450","95.7300"
"2019/07/09","96.2000","473139.0000","98.0000","98.2100","95.8100"
"2019/07/08","97.9000","270801.0000","97.5800","98.8900","96.9200"
"2019/07/05","97.4400","211935.0000","97.9400","98.3800","96.8400"
"2019/07/03","98.4600","221058.0000","97.7300","98.9700","97.6200"
"2019/07/02","97.6100","186506.0000","98.1800","98.8250","97.3950"
"2019/07/01","97.9800","227740.0000","97.0000","98.4500","96.7000"
"2019/06/28","96.7500","311994.0000","96.5300","97.0000","95.0200"
"2019/06/27","95.9200","230169.0000","96.8400","96.8400","95.3700"
"2019/06/26","96.7800","292701.0000","97.9900","98.0000","96.3900"
"2019/06/25","97.5800","217674.0000","96.7600","97.8400","96.5500"
"2019/06/24","97.0700","227509.0000","97.1700","97.5000","96.2600"
"2019/06/21","96.9000","277480.0000","98.3300","98.6500","96.5500"
"2019/06/20","98.6500","230716.0000","98.6000","99.4300","98.2649"
"2019/06/19","97.5900","318567.0000","97.8100","98.5000","96.9400"
"2019/06/18","97.7500","380159.0000","97.6300","98.5500","96.9900"
"2019/06/17","97.1800","193053.0000","98.1900","98.9600","97.0500"
"2019/06/14","97.9800","141127.0000","97.7500","98.6000","97.5800"
"2019/06/13","98.1500","150155.0000","99.0500","99.0500","97.2000"
"2019/06/12","98.5500","205804.0000","97.2600","99.2400","97.0800"
"2019/06/11","97.4700","284162.0000","98.5400","98.5400","96.6700"
"2019/06/10","97.6200","314984.0000","96.8400","98.4200","96.7800"
"2019/06/07","96.5300","118460.0000","96.6600","96.9100","96.0000"
"2019/06/06","96.3500","145155.0000","96.9100","96.9100","94.6300"
"2019/06/05","96.9400","215584.0000","96.3700","97.2300","96.1500"
"2019/06/04","95.8500","334303.0000","95.6900","97.5000","94.9300"
"2019/06/03","94.6800","374174.0000","93.6000","95.0900","92.5600"
"2019/05/31","93.0600","539034.0000","92.3100","93.5000","91.3200"
"2019/05/30","95.8900","252015.0000","95.9000","96.8300","95.5400"
"2019/05/29","95.9200","505560.0000","95.2100","96.3100","94.2900"
"2019/05/28","95.2400","338415.0000","97.8500","97.8500","95.2200"
"2019/05/24","97.7600","398313.0000","99.1800","99.1800","96.8600"
"2019/05/23","98.1000","297744.0000","98.6900","99.1500","97.7800"
"2019/05/22","99.4300","202982.0000","99.0000","99.6900","98.6100"
"2019/05/21","98.9800","281655.0000","98.9200","99.2800","97.5400"
"2019/05/20","98.6400","262186.0000","98.0800","99.6100","97.6100"
"2019/05/17","98.2000","379162.0000","97.9300","98.5600","96.6600"
"2019/05/16","98.7300","326824.0000","99.2900","100.2300","98.5850"
"2019/05/15","99.1900","340510.0000","99.0000","99.7600","97.6200"
"2019/05/14","99.5700","395813.0000","98.3000","100.3500","98.0500"
"2019/05/13","97.7200","268957.0000","96.9800","97.9900","96.4000"
"2019/05/10","98.6200","324977.0000","97.3300","99.1000","96.4200"
"2019/05/09","96.9600","283531.0000","96.9800","97.3600","96.3100"
"2019/05/08","97.8000","298188.0000","98.3300","98.5100","97.6800"
"2019/05/07","98.0700","321519.0000","97.3300","98.1300","97.3300"
"2019/05/06","98.4800","276821.0000","97.9600","98.8000","97.8900"
"2019/05/03","99.1600","829923.0000","98.7700","99.4900","98.1100"
"2019/05/02","99.0300","374155.0000","97.4800","99.4400","97.0200"
"2019/05/01","97.6400","362305.0000","97.3300","98.3900","96.7200"
"2019/04/30","97.5900","518460.0000","96.1600","97.6500","94.7700"
"2019/04/29","96.6300","360583.0000","96.5900","97.5400","95.6700"
"2019/04/26","95.5500","277146.0000","94.9400","95.7800","94.6800"
"2019/04/25","94.9200","323317.0000","95.0200","95.2700","93.8000"
"2019/04/24","95.0500","207202.0000","95.7100","95.7100","94.3000"
"2019/04/23","95.8900","278216.0000","95.8500","96.6850","94.9500"
"2019/04/22","95.7700","158985.0000","95.8400","96.7850","95.6500"
"2019/04/18","96.0400","267377.0000","96.6400","96.9600","95.5200"
"2019/04/17","96.4100","444346.0000","97.0800","97.6400","95.8100"
"2019/04/16","96.7800","412950.0000","96.3600","97.0500","95.9100"
"2019/04/15","96.3900","209307.0000","96.1600","96.8344","95.3700"
"2019/04/12","96.1400","224365.0000","96.1100","96.4900","95.7800"
"2019/04/11","96.1200","249405.0000","95.9000","96.4300","95.1200"
"2019/04/10","95.7600","352939.0000","96.0300","96.1200","95.2900"
"2019/04/09","95.2900","440310.0000","95.9300","96.2000","94.7400"
"2019/04/08","95.9900","523441.0000","95.8000","96.2800","94.7200"
"2019/04/05","95.7600","851818.0000","93.8000","95.8100","93.3200"
"2019/04/04","93.1000","351304.0000","92.6500","93.2300","92.3800"
"2019/04/03","92.8300","281034.0000","92.8400","93.9150","92.4500"
"2019/04/02","92.8100","334761.0000","93.7200","94.9900","92.5000"
"2019/04/01","93.7600","493282.0000","92.8900","94.2100","92.2900"
"2019/03/29","92.2800","310917.0000","92.6200","92.9850","91.8300"
"2019/03/28","92.3800","283058.0000","91.8100","92.9000","90.6100"
"2019/03/27","91.8600","267351.0000","92.3900","92.8500","91.1750"
"2019/03/26","92.9600","215464.0000","92.7100","93.0400","92.0000"
"2019/03/25","92.4600","269333.0000","91.1900","92.8900","91.1900"
"2019/03/22","91.4000","396734.0000","91.7300","91.8500","90.5600"
"2019/03/21","92.4700","209219.0000","91.9300","93.0800","91.9300"
"2019/03/20","92.4000","450897.0000","90.0000","92.9900","89.4400"
"2019/03/19","89.9400","269226.0000","89.6800","90.8800","89.5500"
"2019/03/18","89.6400","357380.0000","89.4500","90.0800","88.6000"
"2019/03/15","88.9800","352978.0000","88.0400","89.2800","87.6000"
"2019/03/14","87.5100","117571.0000","87.4200","88.2300","87.0400"
"2019/03/13","87.6200","218448.0000","87.5000","87.9950","87.3100"
"2019/03/12","87.4400","300235.0000","89.7500","89.9900","87.1200"
"2019/03/11","89.5200","149504.0000","87.5000","89.7400","87.5000"
"2019/03/08","87.1300","295441.0000","86.8500","87.4600","86.0500"
"2019/03/07","87.3400","332061.0000","88.3700","88.6200","87.2300"
"2019/03/06","88.2800","255425.0000","89.0900","89.3500","88.0800"
"2019/03/05","89.3200","326887.0000","89.8200","90.1300","88.9400"
"2019/03/04","89.8000","267334.0000","90.2300","90.5500","89.0001"
"2019/03/01","90.2800","370471.0000","91.3300","92.0000","89.7100"
"2019/02/28","90.6300","821972.0000","91.9300","92.1200","90.4200"
"2019/02/27","91.2300","344849.0000","90.9300","91.3200","90.1000"
"2019/02/26","91.0100","517676.0000","90.9900","91.2800","90.0900"
"2019/02/25","91.2800","402002.0000","92.3300","93.1000","91.1500"
"2019/02/22","92.3500","223817.0000","92.4600","93.7500","91.8900"
"2019/02/21","92.3000","256434.0000","91.4800","92.4300","91.1700"
"2019/02/20","91.6200","650231.0000","92.0000","92.4500","91.5300"
"2019/02/19","91.9000","350276.0000","92.5200","93.3900","91.7900"
"2019/02/15","92.7200","188463.0000","93.7500","93.7500","91.8700"
"2019/02/14","93.1400","271881.0000","91.4500","93.4900","91.4400"
"2019/02/13","91.9400","663159.0000","92.7000","92.8000","91.7100"
"2019/02/12","92.8400","278361.0000","92.9600","93.5900","92.3800"
"2019/02/11","92.8500","602543.0000","93.0400","93.9000","92.5200"
"2019/02/08","93.0300","308658.0000","92.8100","93.1100","92.3400"
"2019/02/07","93.0500","388704.0000","91.6900","93.0700","90.9950"
"2019/02/06","92.0500","361026.0000","90.3800","93.1100","90.3800"
"2019/02/05","91.4700","237437.0000","90.8800","92.5000","90.8400"
"2019/02/04","90.6600","179741.0000","89.3800","91.4200","89.3800"
"2019/02/01","89.8900","352535.0000","91.0200","91.6900","89.8400"
"2019/01/31","91.0200","466254.0000","90.3300","92.0100","89.1300"
"2019/01/30","90.3300","493335.0000","91.5700","92.7800","89.6700"
"2019/01/29","91.6900","588084.0000","91.6700","92.1000","90.9000"
"2019/01/28","91.0500","564550.0000","90.5800","91.9200","90.5800"
"2019/01/25","91.5600","467740.0000","92.2200","93.3600","90.8600"
"2019/01/24","91.9300","335579.0000","93.0300","93.0300","91.1000"
"2019/01/23","92.7600","393737.0000","92.4900","92.9600","91.8700"
"2019/01/22","92.1800","720292.0000","92.8300","93.4850","91.5700"
"2019/01/18","93.4100","535103.0000","94.1600","94.2900","93.2300"
"2019/01/17","93.7300","282339.0000","94.1000","94.4200","93.3600"
"2019/01/16","94.2000","292961.0000","94.2300","94.6750","93.5900"
"2019/01/15","94.3100","241184.0000","92.8700","94.8300","92.7600"
"2019/01/14","93.3200","528474.0000","93.0400","94.7800","91.9300"
"2019/01/11","93.3500","577485.0000","93.0500","93.8150","92.8010"
"2019/01/10","93.0700","908403.0000","92.7900","93.5900","92.5450"
"2019/01/09","93.1200","606470.0000","90.9700","93.2000","90.9700"
"2019/01/08","91.5000","216189.0000","91.4000","91.7500","90.7100"
"2019/01/07","90.8500","361402.0000","89.7100","91.3500","89.2470"
"2019/01/04","89.4000","239636.0000","88.5300","89.6800","88.4300"
"2019/01/03","87.9000","396504.0000","86.9600","88.4300","86.9600"
"2019/01/02","87.2800","346278.0000","85.7300","87.4600","85.5400"
"2018/12/31","86.0500","220134.0000","85.4400","86.0600","84.8500"
