"date","close","volume","open","high","low"
"16:00","24.59","397,681","25.11","25.26","24.59"
"2019/09/16","24.5900","405514.0000","25.1500","25.2600","24.5900"
"2019/09/13","25.2200","245015.0000","25.2600","25.3500","25.0000"
"2019/09/12","25.0800","544301.0000","25.3200","25.4800","25.0700"
"2019/09/11","25.7100","567630.0000","25.6000","25.8700","25.4000"
"2019/09/10","25.4900","294244.0000","25.0800","25.5199","24.7200"
"2019/09/09","25.0200","525353.0000","26.0000","26.1799","25.0194"
"2019/09/06","25.7300","1102691.0000","25.4000","25.9500","25.1065"
"2019/09/05","25.3300","770076.0000","24.6500","25.3894","24.5473"
"2019/09/04","24.2800","447014.0000","24.7800","24.9700","23.9200"
"2019/09/03","24.6500","324708.0000","23.9200","24.6900","23.8400"
"2019/08/30","24.0100","438904.0000","24.4500","24.4999","23.9200"
"2019/08/29","24.2600","460915.0000","24.4300","24.4659","24.2000"
"2019/08/28","24.0400","658314.0000","23.6100","24.2000","23.1849"
"2019/08/27","23.8000","592338.0000","24.8300","24.9747","23.6300"
"2019/08/26","24.7000","606151.0000","24.9900","25.0200","24.4695"
"2019/08/23","24.7800","615836.0000","25.2500","25.6899","24.7500"
"2019/08/22","25.4100","351335.0000","26.0000","26.0750","25.3500"
"2019/08/21","26.0100","442975.0000","25.9600","26.1500","25.7700"
"2019/08/20","25.8000","371406.0000","25.5000","26.1749","25.5000"
"2019/08/19","25.9800","451983.0000","26.3500","26.6300","25.8010"
"2019/08/16","26.2500","1099939.0000","25.7100","26.4500","25.7100"
"2019/08/15","25.7100","995887.0000","26.7900","26.8000","25.6100"
"2019/08/14","27.1200","867203.0000","28.0000","28.0000","27.1000"
"2019/08/13","28.9200","442766.0000","28.0700","28.9350","28.0000"
"2019/08/12","28.2300","293935.0000","28.5200","28.5200","27.9000"
"2019/08/09","28.5500","266352.0000","28.8400","28.9100","28.0900"
"2019/08/08","28.7100","315860.0000","29.1500","29.2500","28.5200"
"2019/08/07","28.4900","483769.0000","28.2800","28.6000","27.9600"
"2019/08/06","28.2400","501155.0000","27.7500","28.7500","27.7100"
"2019/08/05","27.5000","405920.0000","28.2800","28.2800","27.2600"
"2019/08/02","28.3300","700289.0000","27.4800","28.3500","27.4500"
"2019/08/01","27.0200","725521.0000","27.9800","28.0425","26.9528"
"2019/07/31","28.0800","282424.0000","28.0500","28.5000","27.9000"
"2019/07/30","28.1900","429757.0000","27.8400","28.3891","27.5500"
"2019/07/29","28.1800","608172.0000","28.5700","28.6683","27.8200"
"2019/07/26","28.6200","354630.0000","28.3900","28.7724","28.2300"
"2019/07/25","28.4100","309836.0000","28.7800","29.1700","28.3400"
"2019/07/24","28.9000","476598.0000","29.0000","29.0700","28.6600"
"2019/07/23","29.1800","561110.0000","29.3900","29.4125","29.0106"
"2019/07/22","29.4800","488602.0000","29.7900","29.8300","29.2800"
"2019/07/19","29.8300","298190.0000","30.0400","30.2600","29.7800"
"2019/07/18","30.1800","340540.0000","30.2500","30.3150","29.8000"
"2019/07/17","30.4200","474312.0000","30.1200","30.6500","30.1200"
"2019/07/16","30.1200","256361.0000","30.0700","30.3500","29.8000"
"2019/07/15","30.0100","503023.0000","29.4500","30.0500","29.0300"
"2019/07/12","29.4600","1023555.0000","30.4900","30.5000","29.4138"
"2019/07/11","30.6600","401484.0000","31.0500","31.0800","30.4500"
"2019/07/10","30.9000","403262.0000","31.4400","31.5900","30.9000"
"2019/07/09","31.2400","406832.0000","31.2300","31.4100","30.9000"
"2019/07/08","31.2600","549843.0000","31.6000","31.6400","31.1600"
"2019/07/05","31.7400","280085.0000","31.8600","31.9300","31.5006"
"2019/07/03","31.8300","422899.0000","31.6000","31.9100","31.2600"
"2019/07/02","31.6200","290477.0000","32.1200","32.1600","31.4500"
"2019/07/01","32.1000","245504.0000","32.0500","32.1400","31.8101"
"2019/06/28","31.6800","260652.0000","31.7000","31.9000","31.5200"
"2019/06/27","31.7000","228807.0000","31.4400","31.7500","31.3850"
"2019/06/26","31.3000","323050.0000","31.3600","31.4900","31.0500"
"2019/06/25","31.1900","258635.0000","31.6600","31.7419","31.1900"
"2019/06/24","31.6900","535228.0000","31.9100","31.9100","31.2800"
"2019/06/21","31.9800","502222.0000","32.1100","32.1300","31.2500"
"2019/06/20","32.5300","368196.0000","32.4000","32.6400","32.1900"
"2019/06/19","31.9800","357220.0000","31.7000","32.1500","31.6172"
"2019/06/18","31.5500","268629.0000","31.7200","31.9500","31.5500"
"2019/06/17","31.5300","275610.0000","31.2500","31.5300","31.0000"
"2019/06/14","31.1700","426840.0000","31.8500","31.9000","31.1100"
"2019/06/13","31.9500","369398.0000","32.5900","32.6900","31.8800"
"2019/06/12","32.4800","309247.0000","32.4500","32.5300","32.0600"
"2019/06/11","32.5500","389610.0000","33.1500","33.1800","32.2500"
"2019/06/10","32.9400","754233.0000","32.6400","33.2400","32.5000"
"2019/06/07","32.0800","459959.0000","31.7700","32.4500","31.6550"
"2019/06/06","31.4800","311302.0000","31.6200","31.6884","31.2000"
"2019/06/05","31.6000","445070.0000","32.4000","32.4600","31.2500"
"2019/06/04","31.6200","362757.0000","30.5300","31.6200","30.4200"
"2019/06/03","30.1200","621082.0000","30.9500","31.1999","30.0000"
"2019/05/31","30.9700","670301.0000","31.5000","31.6000","30.7800"
"2019/05/30","31.8200","599947.0000","32.7000","32.9000","31.8100"
"2019/05/29","32.4400","565794.0000","33.1000","33.1900","32.2600"
"2019/05/28","33.2300","399448.0000","33.7000","33.8499","33.0600"
"2019/05/24","33.4500","414953.0000","33.5900","33.8799","33.3101"
"2019/05/23","33.0300","351484.0000","33.8300","34.0000","32.9200"
"2019/05/22","34.0700","297125.0000","33.9500","34.5500","33.8000"
"2019/05/21","33.8900","325811.0000","33.6500","33.9896","33.5543"
"2019/05/20","33.2500","333384.0000","33.5000","33.5500","33.0000"
"2019/05/17","33.6700","641137.0000","33.7000","34.1200","33.5100"
"2019/05/16","33.8800","354835.0000","34.1000","34.2400","33.8800"
"2019/05/15","33.8500","550996.0000","33.2500","33.9394","32.9000"
"2019/05/14","33.2900","867225.0000","32.8500","33.5800","32.7300"
"2019/05/13","32.5200","963592.0000","33.6400","33.6700","32.2500"
"2019/05/10","34.3000","493882.0000","33.9500","34.3800","33.5300"
"2019/05/09","34.0200","546925.0000","34.6000","34.6200","33.7700"
"2019/05/08","34.6700","412595.0000","34.6500","34.9999","34.5500"
"2019/05/07","34.7600","540802.0000","35.5500","35.6900","34.5300"
"2019/05/06","35.5100","399258.0000","34.7000","35.6600","34.4930"
"2019/05/03","35.4300","376950.0000","35.0500","35.4600","34.9460"
"2019/05/02","34.8600","723263.0000","35.5600","35.5700","34.2800"
"2019/05/01","35.4800","511680.0000","35.7500","35.9900","35.3600"
"2019/04/30","35.6600","426497.0000","35.9500","36.2200","35.3700"
"2019/04/29","35.9000","560588.0000","35.4300","35.9300","35.1605"
"2019/04/26","35.3100","463649.0000","34.6500","35.3100","34.6200"
"2019/04/25","34.6200","393566.0000","34.7600","34.8360","34.4801"
"2019/04/24","34.9400","588023.0000","34.8500","35.1500","34.5588"
"2019/04/23","34.8500","670251.0000","35.0000","35.0000","34.5200"
"2019/04/22","34.9100","760054.0000","34.0000","34.9200","33.9000"
"2019/04/18","33.8800","820944.0000","34.9300","34.9400","33.7531"
"2019/04/17","34.0900","931141.0000","34.4300","34.6600","33.8900"
"2019/04/16","34.1400","551687.0000","34.0000","34.5386","33.9500"
"2019/04/15","33.9000","1121937.0000","35.0000","35.0900","33.7700"
"2019/04/12","35.0900","575761.0000","35.2100","35.5300","34.9900"
"2019/04/11","34.9900","794604.0000","35.9000","35.9118","34.7000"
"2019/04/10","35.9000","422109.0000","35.2800","35.9500","35.2700"
"2019/04/09","35.2700","700764.0000","35.8000","35.9183","35.1300"
"2019/04/08","35.8700","565258.0000","36.3200","36.4300","35.8000"
"2019/04/05","36.3000","421638.0000","36.1000","36.3400","36.0300"
"2019/04/04","35.9200","540770.0000","36.4000","36.4000","35.6000"
"2019/04/03","35.9600","721142.0000","36.5000","36.5999","35.8700"
"2019/04/02","36.3800","459367.0000","36.7100","36.7400","36.1300"
"2019/04/01","36.6300","715118.0000","36.7000","36.8000","36.1700"
"2019/03/29","36.3700","598832.0000","36.3600","36.6000","36.0560"
"2019/03/28","36.0500","790786.0000","36.1000","36.4100","35.1301"
"2019/03/27","36.1400","981575.0000","37.1800","37.2886","35.5400"
"2019/03/26","37.3000","610241.0000","37.0800","37.3800","36.9177"
"2019/03/25","37.0500","988946.0000","36.6600","37.4830","36.4000"
"2019/03/22","36.8300","1314730.0000","38.1000","38.2300","36.6800"
