"date","close","volume","open","high","low"
"16:00","72.60","10,547,264","72.18","72.7165","71.77"
"2019/09/16","72.6000","10547260.0000","72.1800","72.7165","71.7700"
"2019/09/13","73.0500","10572750.0000","74.3100","74.7800","73.0000"
"2019/09/12","74.9000","6242903.0000","75.2100","75.4000","74.0500"
"2019/09/11","75.0700","8443109.0000","74.5400","75.4800","74.1200"
"2019/09/10","74.5000","7402218.0000","72.7000","74.5600","72.5000"
"2019/09/09","73.3000","5528117.0000","73.0000","73.3900","72.4200"
"2019/09/06","72.9700","6130000.0000","72.2600","73.4200","71.9800"
"2019/09/05","71.9500","6615690.0000","73.4000","73.4200","71.8800"
"2019/09/04","73.0200","5386877.0000","72.6900","73.2500","71.5200"
"2019/09/03","72.6600","4466959.0000","72.0000","72.7900","71.1100"
"2019/08/30","72.0900","9044995.0000","72.8300","73.2200","71.7500"
"2019/08/29","72.7200","13238430.0000","75.2800","75.6500","71.6100"
"2019/08/28","74.3200","18953440.0000","71.9200","75.6699","71.9000"
"2019/08/27","71.7000","41588480.0000","75.1000","75.4000","69.2700"
"2019/08/26","77.7300","11519790.0000","81.0000","81.5700","76.4075"
"2019/08/23","81.2200","4263790.0000","82.7900","83.3500","80.6600"
"2019/08/22","82.9500","3681241.0000","82.5500","83.8600","82.4150"
"2019/08/21","83.0500","3311106.0000","83.4200","83.6000","82.0800"
"2019/08/20","83.0000","3656039.0000","84.9100","84.9780","82.2900"
"2019/08/19","85.0100","3108138.0000","85.6500","86.0500","84.7800"
"2019/08/16","84.9100","3302538.0000","84.7300","85.5100","84.6600"
"2019/08/15","84.4900","3980176.0000","83.9300","84.6850","83.1100"
"2019/08/14","83.3300","6642582.0000","83.5100","83.7700","83.0200"
"2019/08/13","83.9500","4542026.0000","81.6400","84.1000","81.6400"
"2019/08/12","82.3800","2172512.0000","82.4500","83.0400","81.7200"
"2019/08/09","82.5900","3068502.0000","82.4300","82.9933","81.7900"
"2019/08/08","82.4800","3266563.0000","81.4300","82.7214","81.3100"
"2019/08/07","81.3600","6434687.0000","80.3600","81.6600","79.3500"
"2019/08/06","81.3200","6313190.0000","81.1200","81.6500","80.5550"
"2019/08/05","80.2600","6849333.0000","83.5700","83.8200","79.4900"
"2019/08/02","84.1700","6109083.0000","82.7000","84.5500","81.8800"
