"date","close","volume","open","high","low"
"16:00","388.07","181,738","387.95","392.07","384.22"
"2019/09/16","388.0700","185572.0000","390.0000","392.0700","384.2200"
"2019/09/13","389.3600","208179.0000","390.3500","391.5273","382.0250"
"2019/09/12","392.5400","201412.0000","391.2500","397.8700","382.1600"
"2019/09/11","390.4800","226332.0000","377.6500","392.8300","376.4100"
"2019/09/10","379.0000","368441.0000","397.1100","397.5750","378.8500"
"2019/09/09","399.8800","154748.0000","403.2000","405.8000","393.6200"
"2019/09/06","403.5600","193558.0000","410.5500","419.4600","402.0250"
"2019/09/05","410.3000","224090.0000","405.7000","411.6500","398.6850"
"2019/09/04","405.7800","185621.0000","413.1700","418.5800","403.2300"
"2019/09/03","411.1000","472574.0000","424.7400","424.9400","401.4900"
"2019/08/30","438.4200","227924.0000","437.4800","439.2800","432.4900"
"2019/08/29","436.3200","158850.0000","441.1900","443.2500","433.6800"
"2019/08/28","438.0500","179152.0000","438.8700","439.2150","431.6100"
"2019/08/27","441.2600","183782.0000","437.8200","444.6450","432.1400"
"2019/08/26","435.0100","203484.0000","430.2900","435.9900","426.8300"
"2019/08/23","429.4100","139096.0000","435.9000","437.4495","426.1300"
"2019/08/22","437.4400","137037.0000","440.3700","442.5000","434.7800"
"2019/08/21","439.6000","140167.0000","435.0100","440.4800","431.8700"
"2019/08/20","431.9800","184971.0000","421.9700","436.1500","418.2600"
"2019/08/19","422.7100","190705.0000","422.7000","431.3000","417.3200"
"2019/08/16","421.9600","138685.0000","411.5900","423.9050","411.2100"
"2019/08/15","408.5500","177187.0000","401.7100","410.0000","396.2000"
"2019/08/14","397.8100","242378.0000","405.2100","409.0330","396.5450"
"2019/08/13","409.7000","154735.0000","401.9700","411.4200","400.3200"
"2019/08/12","402.5400","157082.0000","400.2300","403.0900","392.5600"
"2019/08/09","402.9600","238180.0000","406.7500","411.5900","401.7250"
"2019/08/08","406.8800","176589.0000","398.7300","407.1600","388.4800"
"2019/08/07","394.5100","211355.0000","391.9000","399.0250","387.0350"
"2019/08/06","389.0600","161655.0000","376.0500","390.1800","375.2800"
"2019/08/05","373.2300","241941.0000","380.5000","388.2100","372.5000"
"2019/08/02","383.7900","202453.0000","383.0400","391.9300","382.3750"
"2019/08/01","383.0400","201711.0000","391.0000","397.9400","382.5500"
"2019/07/31","392.3200","207736.0000","387.4600","398.2300","384.3422"
"2019/07/30","386.6900","215196.0000","389.3400","394.3950","380.6200"
"2019/07/29","391.1100","346608.0000","398.5000","400.8150","385.0200"
"2019/07/26","398.5000","544762.0000","391.7700","403.0100","390.0000"
"2019/07/25","386.3600","159769.0000","385.7100","392.4500","380.0200"
"2019/07/24","385.6400","141772.0000","385.5300","392.1750","379.5300"
"2019/07/23","385.8000","164333.0000","394.7000","398.7700","382.9600"
"2019/07/22","393.8500","187988.0000","389.2800","398.0500","383.4400"
"2019/07/19","387.5800","110930.0000","390.0500","395.5200","387.2300"
"2019/07/18","389.4400","108928.0000","390.7500","394.7200","389.0100"
