"date","close","volume","open","high","low"
"16:00","57.55","1,447,388","56.99","57.60","56.68"
"2019/09/16","57.5500","1476857.0000","56.9900","57.6000","56.6800"
"2019/09/13","57.1700","1395281.0000","56.4300","57.2400","56.3150"
"2019/09/12","56.2500","1183158.0000","56.9000","56.9900","56.0000"
"2019/09/11","56.3800","1694524.0000","56.3700","56.6500","55.5000"
"2019/09/10","56.6000","2341952.0000","55.8000","56.8000","55.4200"
"2019/09/09","55.8700","2019370.0000","53.4100","55.9250","53.4100"
"2019/09/06","53.4200","1464443.0000","53.3800","53.4900","53.1300"
"2019/09/05","53.1800","1659018.0000","53.3700","53.6900","53.1300"
"2019/09/04","53.1300","927072.0000","52.8100","53.3100","52.6650"
"2019/09/03","52.3900","2111346.0000","51.0900","52.6050","50.7803"
"2019/08/30","51.3600","1390347.0000","51.2000","51.6000","51.0700"
"2019/08/29","51.0500","768599.0000","51.1100","51.4629","50.8900"
"2019/08/28","51.1500","923962.0000","50.2100","51.2600","49.9200"
"2019/08/27","50.1700","1643669.0000","50.6300","50.7900","50.0400"
"2019/08/26","50.5700","1461657.0000","50.3300","50.6005","50.0900"
"2019/08/23","50.0700","1643238.0000","51.5600","51.6600","49.9450"
"2019/08/22","51.6900","1287921.0000","51.8700","52.3000","51.4800"
"2019/08/21","51.7800","1707268.0000","52.1100","52.4200","51.5200"
"2019/08/20","52.1600","935254.0000","52.5200","52.7700","51.9900"
"2019/08/19","52.5000","1479258.0000","52.4400","52.8400","51.9500"
"2019/08/16","51.8800","1504235.0000","50.9800","52.0500","50.6850"
"2019/08/15","50.8600","1443550.0000","50.4700","50.9500","50.1500"
"2019/08/14","50.3400","2103144.0000","51.2500","51.4150","50.2900"
"2019/08/13","51.6800","1912905.0000","52.2100","52.9500","51.6200"
"2019/08/12","52.0100","1835051.0000","52.3100","52.4000","51.9600"
"2019/08/09","52.6500","1536337.0000","52.4700","52.7500","52.1300"
"2019/08/08","52.7200","1368626.0000","52.4100","52.7800","51.8900"
"2019/08/07","52.1400","1804166.0000","50.9200","52.2900","50.5500"
"2019/08/06","51.1900","2697800.0000","51.0300","51.5600","50.6800"
"2019/08/05","50.5900","3156127.0000","51.9000","52.0700","49.9200"
"2019/08/02","52.2400","1980599.0000","52.6600","52.9700","52.0200"
"2019/08/01","52.4900","3219806.0000","53.0100","54.2450","52.4600"
"2019/07/31","53.9900","6778884.0000","53.0700","54.2650","51.8000"
"2019/07/30","56.9200","1510721.0000","56.3900","57.0000","56.0900"
"2019/07/29","56.5100","1236668.0000","56.7000","56.9800","56.2500"
"2019/07/26","56.5900","1586661.0000","56.7300","56.9800","56.3800"
"2019/07/25","56.6700","1696703.0000","56.8000","57.7100","56.1400"
"2019/07/24","56.6500","1239416.0000","56.2600","56.7550","56.0700"
"2019/07/23","56.3000","2525881.0000","54.5000","56.7500","54.3600"
"2019/07/22","54.2300","1316222.0000","54.7800","55.0500","54.0300"
"2019/07/19","54.5900","1546006.0000","55.0200","55.1000","54.4000"
"2019/07/18","54.3900","1092086.0000","54.0000","54.6500","53.4800"
"2019/07/17","54.2900","1266618.0000","54.6600","54.8300","54.1100"
"2019/07/16","54.4900","1603793.0000","53.6400","54.5700","53.3900"
"2019/07/15","53.7000","1956572.0000","53.2900","53.8000","52.3600"
