"date","close","volume","open","high","low"
"16:00","7.12","3,734","7.15","7.30","7.12"
"2019/09/16","7.1200","3734.0000","7.1500","7.3000","7.1200"
"2019/09/13","7.2000","4400.0000","7.1202","7.2500","7.1202"
"2019/09/12","7.1241","906.0000","7.1000","7.2265","7.0900"
"2019/09/11","7.1741","9520.0000","7.0300","7.3000","7.0300"
"2019/09/10","7.1000","26658.0000","7.0200","7.3621","6.9446"
"2019/09/09","7.1500","14073.0000","6.8900","7.1556","6.8833"
"2019/09/06","6.7990","5954.0000","6.7590","6.8000","6.7000"
"2019/09/05","6.7200","1480.0000","6.6950","6.9070","6.6800"
"2019/09/04","6.9100","4980.0000","6.8800","6.9500","6.6800"
"2019/09/03","6.7000","4283.0000","6.8015","6.9891","6.7000"
"2019/08/30","6.9600","2053.0000","6.9500","6.9600","6.9500"
"2019/08/29","6.8136","887.0000","6.9600","6.9600","6.6801"
"2019/08/28","6.8134","16322.0000","7.0500","7.0800","6.7600"
"2019/08/27","6.8922","443.0000","6.8655","6.8930","6.8655"
"2019/08/26","6.9600","9194.0000","6.8800","7.0400","6.8500"
"2019/08/23","6.7700","904.0000","6.7700","6.7701","6.7700"
"2019/08/22","6.8844","1109.0000","6.8439","6.8844","6.8439"
"2019/08/21","6.8425","807.0000","6.8515","6.8800","6.7800"
"2019/08/20","6.8158","333.0000","6.8043","6.8158","6.8043"
"2019/08/19","6.8971","709.0000","6.7700","6.8971","6.7700"
"2019/08/16","6.8169","1362.0000","6.7941","6.8800","6.7769"
"2019/08/15","6.7700","20347.0000","6.8618","6.8700","6.7700"
"2019/08/14","6.9217","2824.0000","6.9500","6.9500","6.9217"
"2019/08/13","6.9900","1530.0000","6.8500","6.9900","6.8500"
"2019/08/12","6.9301","5879.0000","6.9485","6.9650","6.8956"
"2019/08/09","6.9309","3026.0000","6.8900","6.9309","6.8136"
"2019/08/08","6.8000","4191.0000","6.9000","6.9000","6.8000"
"2019/08/07","6.8900","510.0000","6.9800","6.9800","6.8800"
"2019/08/06","6.9900","7528.0000","6.9300","6.9900","6.8870"
"2019/08/05","6.9500","7808.0000","7.0389","7.0389","6.9200"
"2019/08/02","7.0622","1681.0000","7.0411","7.0622","7.0127"
"2019/08/01","7.0000","3984.0000","7.1000","7.1250","7.0000"
"2019/07/31","6.9800","9007.0000","7.1100","7.1100","6.9800"
"2019/07/30","7.0309","3156.0000","6.9600","7.1100","6.9600"
"2019/07/29","6.9300","8568.0000","6.8730","6.9500","6.8700"
"2019/07/26","6.8500","3772.0000","6.8400","6.9264","6.8400"
"2019/07/25","6.8500","2862.0000","6.8000","6.8500","6.7800"
"2019/07/24","6.8338","1311.0000","6.8000","6.8400","6.7600"
"2019/07/23","6.8210","1829.0000","6.7809","6.8450","6.7809"
"2019/07/22","6.8300","5751.0000","6.8100","6.8300","6.7395"
"2019/07/19","6.7380","5536.0000","6.8071","6.8226","6.7250"
"2019/07/18","6.7000","7054.0000","6.8700","6.8700","6.7000"
"2019/07/17","6.8140","628.0000","6.8140","6.8140","6.8140"
"2019/07/16","6.7600","3776.0000","6.8067","6.8500","6.7213"
"2019/07/15","6.7600","4997.0000","6.7800","6.7800","6.6600"
"2019/07/12","6.7500","8741.0000","6.7700","6.8300","6.6648"
"2019/07/11","6.6400","15572.0000","6.6500","6.7938","6.5518"
"2019/07/10","6.6500","12533.0000","6.9100","6.9100","6.6500"
"2019/07/09","6.8882","2513.0000","6.8808","6.9390","6.8770"
"2019/07/08","6.8500","6039.0000","6.8700","6.9250","6.8500"
"2019/07/05","6.9500","2882.0000","6.7700","6.9500","6.7500"
"2019/07/03","6.9000","941.0000","6.9095","6.9095","6.9000"
"2019/07/02","6.9000","1244.0000","6.9000","6.9000","6.8037"
"2019/07/01","6.9200","1367.0000","6.9780","7.0000","6.9200"
"2019/06/28","6.9200","2486.0000","6.8953","7.0000","6.8953"
"2019/06/27","6.9100","6615.0000","6.9900","7.0000","6.8900"
"2019/06/26","6.9900","4468.0000","6.8610","6.9900","6.8600"
"2019/06/25","6.9500","2880.0000","6.9121","7.0400","6.9121"
"2019/06/24","6.8637","5615.0000","6.9238","6.9396","6.8500"
"2019/06/21","7.0388","4094.0000","6.8300","7.0390","6.8300"
"2019/06/20","6.9515","1061.0000","6.9485","6.9900","6.9200"
"2019/06/19","6.9776","1716.0000","6.9400","6.9927","6.9400"
"2019/06/18","6.8950","2721.0000","6.9100","6.9313","6.8500"
"2019/06/17","6.9344","3149.0000","6.9730","7.0000","6.8500"
"2019/06/14","7.1200","3515.0000","6.9500","7.1200","6.8500"
"2019/06/13","6.9500","255.0000","6.9500","6.9500","6.9500"
"2019/06/12","6.8501","9251.0000","7.0000","7.0346","6.8500"
"2019/06/11","7.0400","1498.0000","7.0824","7.1474","6.9800"
"2019/06/10","7.0500","3208.0000","7.0500","7.1630","6.9200"
"2019/06/07","7.0800","1629.0000","6.9692","7.0800","6.9501"
"2019/06/06","6.9900","5352.0000","7.0100","7.0100","6.9200"
"2019/06/05","7.0239","3288.0000","7.0700","7.1000","7.0000"
"2019/06/04","7.0600","1041.0000","6.9970","7.0600","6.9800"
"2019/06/03","7.0200","1049.0000","6.9646","7.0200","6.9200"
"2019/05/31","6.9545","2567.0000","6.9200","6.9993","6.9004"
"2019/05/30","6.9300","231.0000","6.9300","6.9300","6.9300"
"2019/05/29","7.0080","1436.0000","7.0912","7.0912","6.9200"
"2019/05/28","7.0000","4613.0000","7.0100","7.1700","6.9101"
"2019/05/24","6.9800","9431.0000","7.2000","7.2000","6.9800"
"2019/05/23","7.1000","817.0000","7.1663","7.1663","7.1000"
"2019/05/22","7.1900","2041.0000","7.1900","7.2000","7.1900"
"2019/05/21","7.2600","4669.0000","7.2610","7.2700","7.1000"
"2019/05/20","7.2000","2048.0000","7.1600","7.2000","7.1600"
"2019/05/17","7.1633","380.0000","7.1633","7.1633","7.1633"
"2019/05/16","7.1500","10796.0000","7.1400","7.2800","7.1400"
"2019/05/15","7.1800","14631.0000","7.2700","7.2700","7.0200"
"2019/05/14","7.1655","3360.0000","7.0700","7.1800","7.0700"
"2019/05/13","7.1720","2032.0000","7.1000","7.1800","7.1000"
"2019/05/10","7.0800","6662.0000","7.1529","7.1529","7.0100"
"2019/05/09","7.1800","9801.0000","7.2500","7.2700","7.1200"
"2019/05/08","7.2920","428.0000","7.2920","7.2920","7.2920"
"2019/05/07","7.3800","5068.0000","7.1300","7.3900","7.1201"
"2019/05/06","7.2200","1778.0000","7.2210","7.2873","7.2200"
"2019/05/03","7.4248","3677.0000","7.1700","7.4248","7.1700"
"2019/05/02","7.2158","1206.0000","7.1600","7.2158","7.1600"
"2019/05/01","7.2385","534.0000","7.2385","7.2385","7.2385"
"2019/04/30","7.3101","2085.0000","7.1809","7.4500","7.1809"
"2019/04/29","7.2100","1867.0000","7.3000","7.3200","7.2100"
"2019/04/26","7.2100","3946.0000","7.2500","7.2863","7.1300"
"2019/04/25","7.2500","8338.0000","7.1200","7.2500","7.1200"
"2019/04/24","7.1500","4124.0000","7.1500","7.3000","7.1500"
"2019/04/23","7.1500","1960.0000","7.2000","7.2882","7.1500"
"2019/04/22","7.2800","1586.0000","7.3000","7.3000","7.1000"
"2019/04/18","7.1054","1880.0000","7.0700","7.1854","7.0700"
"2019/04/17","7.1000","2334.0000","7.1590","7.2700","7.1000"
"2019/04/16","7.0200","1998.0000","7.2499","7.2499","7.0200"
"2019/04/15","7.2300","910.0000","7.2035","7.2500","7.2035"
"2019/04/12","7.2300","3288.0000","7.2900","7.2900","7.1966"
"2019/04/11","7.1800","22256.0000","6.9200","7.3500","6.9200"
"2019/04/10","6.9900","6804.0000","7.1000","7.1000","6.8000"
"2019/04/09","7.1000","6798.0000","7.0100","7.1000","6.9470"
"2019/04/08","7.0500","4238.0000","7.0600","7.0953","7.0350"
"2019/04/05","7.0200","3217.0000","7.0500","7.1000","6.9841"
"2019/04/04","7.0000","5935.0000","7.0000","7.1000","6.9300"
"2019/04/03","7.0612","15023.0000","7.0100","7.0850","6.9477"
"2019/04/02","7.1000","5780.0000","7.2800","7.2800","7.0105"
"2019/04/01","7.1900","4614.0000","7.3500","7.3500","7.1900"
"2019/03/29","7.2100","5509.0000","7.1400","7.2800","7.1300"
"2019/03/28","7.3000","2594.0000","7.1254","7.3314","7.1254"
"2019/03/27","7.3041","3200.0000","7.2100","7.4400","7.1000"
"2019/03/26","7.2100","4154.0000","7.1450","7.2200","7.1000"
"2019/03/25","7.0900","7442.0000","7.3100","7.3100","7.0000"
"2019/03/22","7.2700","3825.0000","7.2500","7.4500","7.2324"
"2019/03/21","7.2300","2688.0000","7.1500","7.4199","7.1500"
"2019/03/20","7.1198","7450.0000","7.0200","7.3000","6.9129"
"2019/03/19","7.1200","5607.0000","6.9662","7.1200","6.9662"
"2019/03/18","6.9300","12956.0000","6.9900","7.0774","6.8020"
"2019/03/15","7.0800","258.0000","7.0800","7.0800","7.0800"
"2019/03/14","7.0447","1222.0000","7.0000","7.0447","6.9800"
"2019/03/13","7.0200","2118.0000","7.0183","7.1495","7.0183"
"2019/03/12","7.0100","7339.0000","7.1300","7.3400","7.0100"
"2019/03/11","7.2146","3389.0000","7.0700","7.3000","7.0700"
"2019/03/08","7.3300","656.0000","7.2100","7.3300","7.0900"
"2019/03/07","7.1513","3546.0000","7.0914","7.3445","7.0914"
"2019/03/06","7.2000","6858.0000","7.3300","7.4700","7.0800"
"2019/03/05","7.1700","4602.0000","7.1000","7.5000","7.1000"
"2019/03/04","7.2300","4287.0000","7.4500","7.5000","7.0101"
"2019/03/01","7.4500","7739.0000","7.2500","7.4900","7.1200"
"2019/02/28","7.0300","1345.0000","7.2400","7.2400","7.0300"
"2019/02/27","7.0900","2488.0000","7.4700","7.4900","7.0700"
"2019/02/26","7.2000","7377.0000","7.2300","7.4600","7.2000"
"2019/02/25","7.2500","5010.0000","7.4370","7.5300","7.2200"
"2019/02/22","7.5700","4627.0000","7.2000","7.5700","7.2000"
"2019/02/21","7.2000","7868.0000","7.3940","7.5600","7.2000"
"2019/02/20","7.3800","9114.0000","7.4400","7.6500","7.3000"
"2019/02/19","7.5500","8646.0000","7.2677","7.6500","7.2677"
"2019/02/15","7.2000","19875.0000","7.1400","7.6000","7.0470"
"2019/02/14","7.0900","12620.0000","6.8000","7.2300","6.8000"
"2019/02/13","6.8460","1961.0000","6.8810","6.9900","6.8460"
