"date","close","volume","open","high","low"
"16:00","82.79","4,311,874","83.55","83.55","81.73"
"2019/09/18","82.7900","4415527.0000","83.4000","83.5500","81.7300"
"2019/09/17","83.5700","2817000.0000","83.5300","83.9400","82.5100"
"2019/09/16","83.8600","2791940.0000","82.1500","84.1200","81.8100"
"2019/09/13","82.4200","3601467.0000","82.7400","83.5700","82.2100"
"2019/09/12","82.6300","3463448.0000","83.6000","83.6700","81.8800"
"2019/09/11","83.3800","5035205.0000","81.7000","83.5600","81.5900"
"2019/09/10","81.7300","5507665.0000","78.8800","81.7900","78.4200"
"2019/09/09","79.3200","3870541.0000","80.3000","80.3200","78.7670"
"2019/09/06","79.4700","3127120.0000","80.4800","80.8800","79.3500"
"2019/09/05","80.3400","4686592.0000","79.9300","80.8600","79.1300"
"2019/09/04","79.1700","3804340.0000","79.2600","79.4300","77.8700"
"2019/09/03","78.6600","4965456.0000","79.8800","80.8500","78.2700"
"2019/08/30","80.3700","2328459.0000","81.4700","81.5200","79.8000"
"2019/08/29","81.1100","2868842.0000","80.9300","81.3800","80.1900"
"2019/08/28","80.0600","4141431.0000","78.5700","80.7600","78.3700"
"2019/08/27","78.9200","5088353.0000","80.7400","81.2310","78.3050"
"2019/08/26","80.2000","3984446.0000","80.1400","80.5100","79.3900"
"2019/08/23","79.4400","6031605.0000","81.3000","82.4400","79.0500"
"2019/08/22","81.6200","3593345.0000","83.3400","83.3500","81.0800"
"2019/08/21","83.2600","2618990.0000","83.0000","83.5900","82.6100"
"2019/08/20","82.4700","4792611.0000","83.0600","83.5400","82.1950"
"2019/08/19","83.3900","3447973.0000","83.4500","83.7400","82.6500"
"2019/08/16","82.4600","3482265.0000","81.0500","82.5500","80.8000"
"2019/08/15","80.3300","4607216.0000","81.6000","81.7200","80.1700"
"2019/08/14","81.2500","10764840.0000","82.1500","82.6300","81.1500"
"2019/08/13","83.6100","3150779.0000","82.1900","84.6300","82.1100"
"2019/08/12","82.4700","3665368.0000","83.2900","83.8400","82.1000"
"2019/08/09","84.0300","3004102.0000","84.4000","85.0500","83.1300"
"2019/08/08","84.8000","3453844.0000","83.6000","85.0100","83.4000"
"2019/08/07","83.3300","3551367.0000","82.2000","83.8000","81.5100"
"2019/08/06","83.0800","4534129.0000","82.2000","83.2400","80.9100"
"2019/08/05","81.2900","5651289.0000","82.3800","82.5800","80.4500"
"2019/08/02","84.0200","4278295.0000","85.9000","85.9000","83.3300"
"2019/08/01","85.9100","4601302.0000","86.0200","87.6000","85.3200"
"2019/07/31","85.6800","3955317.0000","86.7700","87.7000","85.0800"
"2019/07/30","86.7500","3030852.0000","85.0000","86.7900","84.6200"
"2019/07/29","85.4600","6812384.0000","85.6400","85.9500","84.0700"
"2019/07/26","85.6500","2903451.0000","84.3400","85.7250","84.3400"
"2019/07/25","84.1300","3993370.0000","85.9400","85.9450","84.0300"
"2019/07/24","86.0800","3492469.0000","85.1700","86.1300","84.3300"
"2019/07/23","85.3100","4081646.0000","85.9500","86.1900","85.0000"
"2019/07/22","85.9000","2988864.0000","85.5800","86.4900","85.3600"
"2019/07/19","85.6100","4497687.0000","86.9800","87.1500","85.4200"
"2019/07/18","86.7900","3147724.0000","85.3200","86.9200","85.3000"
"2019/07/17","85.5400","3434774.0000","85.4100","86.0700","84.6600"
"2019/07/16","85.4600","2369841.0000","86.3000","86.3000","85.1800"
"2019/07/15","86.1800","2240573.0000","86.0700","86.5100","85.4700"
"2019/07/12","85.8200","3681963.0000","86.0000","86.3300","85.0600"
"2019/07/11","85.9400","4442879.0000","87.3200","87.3200","85.1100"
"2019/07/10","87.1400","6341799.0000","87.5700","88.0700","85.7700"
"2019/07/09","86.9800","2718443.0000","85.2300","87.0800","85.0000"
"2019/07/08","85.7600","4084182.0000","86.9200","86.9200","84.9700"
"2019/07/05","87.2100","3979843.0000","88.3400","88.8600","87.0000"
"2019/07/03","88.8900","1478832.0000","88.0000","88.9100","87.4500"
"2019/07/02","87.6200","3271673.0000","88.2800","88.2900","86.9800"
"2019/07/01","88.2500","3669015.0000","89.2800","89.3000","87.7800"
"2019/06/28","87.7100","4825619.0000","86.1300","87.9400","86.1300"
"2019/06/27","85.9500","4157248.0000","83.9800","86.1200","83.9800"
"2019/06/26","83.8000","3687521.0000","84.8800","85.1000","83.3300"
"2019/06/25","84.4100","4530484.0000","85.4600","85.8800","84.2050"
"2019/06/24","84.7300","3888375.0000","87.1300","87.2200","84.6200"
"2019/06/21","87.2600","3211015.0000","86.5100","87.2600","85.3500"
"2019/06/20","86.9700","4497616.0000","88.0500","88.7700","86.7000"
"2019/06/19","86.9900","3092461.0000","86.9300","87.3700","86.4900"
"2019/06/18","86.9600","7604175.0000","86.3200","87.4600","85.9804"
"2019/06/17","85.3500","7742482.0000","83.0400","85.4900","82.8700"
"2019/06/14","81.4900","3080529.0000","83.1100","83.1100","81.4500"
"2019/06/13","83.0200","2427706.0000","82.3700","83.1000","81.5400"
"2019/06/12","81.7200","2063748.0000","81.1000","81.9400","80.6500"
"2019/06/11","81.1800","3867683.0000","82.8200","83.0100","80.8100"
"2019/06/10","82.0900","3049425.0000","83.6500","83.8700","82.0200"
"2019/06/07","82.8400","3959970.0000","81.6300","83.1700","80.9200"
"2019/06/06","81.3600","3429768.0000","82.6000","82.9200","80.9900"
"2019/06/05","82.6200","3710561.0000","82.9600","83.1800","81.9732"
"2019/06/04","82.5400","4815130.0000","81.4700","82.7300","80.7000"
"2019/06/03","80.3600","4923007.0000","79.7900","81.3200","79.7300"
"2019/05/31","79.4400","5181543.0000","79.9100","80.5900","79.3100"
"2019/05/30","80.8300","3829592.0000","81.7300","82.0200","80.3700"
"2019/05/29","81.2700","5351948.0000","81.3000","82.0600","80.5800"
"2019/05/28","82.0300","4996629.0000","83.2600","83.7700","82.0300"
"2019/05/24","82.9100","4199247.0000","82.3800","83.4200","82.2500"
"2019/05/23","81.8500","5599442.0000","81.7300","82.0800","80.7200"
"2019/05/22","82.6800","4334726.0000","82.8900","83.3700","81.7800"
"2019/05/21","83.2700","4212905.0000","81.3400","83.3800","81.1700"
"2019/05/20","80.7700","4388951.0000","81.8800","82.0400","80.7100"
"2019/05/17","82.5600","5338723.0000","82.8300","83.8900","82.2200"
"2019/05/16","83.4900","7874070.0000","83.0200","84.8400","82.8800"
"2019/05/15","82.4600","4681009.0000","80.9700","82.6000","80.8300"
"2019/05/14","81.7700","6825191.0000","80.9100","82.5000","80.3800"
"2019/05/13","80.4100","7233403.0000","82.1500","82.5600","80.1731"
"2019/05/10","83.9200","5986985.0000","83.6100","84.3100","82.1900"
"2019/05/09","84.3200","6381130.0000","83.6000","85.1202","82.2964"
"2019/05/08","84.4900","4488670.0000","84.1000","85.5800","83.3500"
