Date,Open,High,Low,Close,Adj Close,Volume
2017-09-18,2.710000,2.740000,2.670000,2.710000,2.710000,1724100
2017-09-19,2.740000,2.800000,2.720000,2.780000,2.780000,2420900
2017-09-20,2.800000,2.840000,2.780000,2.810000,2.810000,2152600
2017-09-21,2.810000,2.830000,2.720000,2.750000,2.750000,1868800
2017-09-22,2.750000,2.790000,2.695000,2.780000,2.780000,1484900
2017-09-25,2.810000,2.870000,2.800000,2.840000,2.840000,2018800
2017-09-26,2.880000,2.890000,2.780000,2.820000,2.820000,2633600
2017-09-27,2.810000,2.820000,2.780000,2.790000,2.790000,1178100
2017-09-28,2.790000,2.790000,2.750000,2.760000,2.760000,917400
2017-09-29,2.780000,2.800000,2.750000,2.780000,2.780000,1177300
2017-10-02,2.810000,2.860000,2.800000,2.850000,2.850000,2558800
2017-10-03,2.860000,2.880000,2.840000,2.840000,2.840000,2045200
2017-10-04,2.890000,2.930000,2.860000,2.900000,2.900000,3504400
2017-10-05,2.990000,3.190000,2.950000,3.110000,3.110000,8260700
2017-10-06,3.190000,3.190000,2.920000,3.030000,3.030000,9491800
2017-10-10,3.020000,3.030000,2.950000,2.950000,2.950000,5649600
2017-10-11,2.940000,3.030000,2.900000,3.000000,3.000000,5892800
2017-10-12,3.020000,3.040000,2.940000,2.950000,2.950000,4623300
2017-10-13,2.940000,2.960000,2.880000,2.910000,2.910000,2751600
2017-10-16,2.920000,2.960000,2.870000,2.880000,2.880000,3488500
2017-10-17,2.850000,2.850000,2.650000,2.770000,2.770000,7120600
2017-10-18,2.760000,2.880000,2.720000,2.820000,2.820000,2589800
2017-10-19,2.830000,2.850000,2.710000,2.730000,2.730000,2580700
2017-10-20,2.740000,2.840000,2.740000,2.820000,2.820000,1827900
2017-10-23,2.860000,2.890000,2.825000,2.860000,2.860000,1848700
2017-10-24,2.890000,2.890000,2.840000,2.880000,2.880000,1184000
2017-10-25,2.920000,2.920000,2.880000,2.900000,2.900000,1152600
2017-10-26,2.900000,2.910000,2.850000,2.870000,2.870000,918700
2017-10-27,2.880000,2.890000,2.840000,2.850000,2.850000,952000
2017-10-30,3.000000,3.090000,2.940000,3.000000,3.000000,5268100
2017-10-31,3.050000,3.090000,3.010000,3.050000,3.050000,6740900
2017-11-01,3.100000,3.100000,3.040000,3.060000,3.060000,3404800
2017-11-02,3.090000,3.090000,3.010000,3.080000,3.080000,2432500
2017-11-03,3.100000,3.150000,3.070000,3.140000,3.140000,4695100
2017-11-06,3.250000,3.500000,3.210000,3.470000,3.470000,14529600
2017-11-07,3.750000,4.020000,3.540000,3.750000,3.750000,27131400
2017-11-08,3.890000,4.100000,3.780000,3.920000,3.920000,22073300
2017-11-09,4.050000,4.050000,3.830000,4.040000,4.040000,12237700
2017-11-10,4.090000,4.940000,4.060000,4.640000,4.640000,39023900
2017-11-13,5.420000,5.970000,5.000000,5.970000,5.970000,38779300
2017-11-14,6.250000,6.900000,5.260000,6.410000,6.410000,63445900
2017-11-15,6.750000,6.750000,5.900000,6.220000,6.220000,35899200
2017-11-16,5.770000,5.900000,5.210000,5.400000,5.400000,33594300
2017-11-17,5.290000,5.740000,5.010000,5.510000,5.510000,21721700
2017-11-20,5.690000,5.900000,5.550000,5.850000,5.850000,15739600
2017-11-21,5.910000,6.080000,5.870000,6.070000,6.070000,12455500
2017-11-22,6.140000,6.450000,6.080000,6.420000,6.420000,13275400
2017-11-23,6.580000,6.960000,6.510000,6.740000,6.740000,20255100
2017-11-24,6.980000,7.250000,6.890000,7.240000,7.240000,19751200
2017-11-27,7.550000,8.450000,7.460000,8.250000,8.250000,45946400
2017-11-28,8.540000,8.660000,7.020000,7.830000,7.830000,45476800
2017-11-29,7.260000,7.590000,6.570000,6.750000,6.750000,29905300
2017-11-30,6.220000,8.000000,6.100000,8.000000,8.000000,32471600
2017-12-01,7.600000,7.870000,7.250000,7.520000,7.520000,23187300
2017-12-04,7.720000,7.850000,7.330000,7.420000,7.420000,13650000
2017-12-05,7.460000,7.510000,7.260000,7.390000,7.390000,10254700
2017-12-06,7.370000,7.390000,6.880000,7.000000,7.000000,14415100
2017-12-07,6.850000,6.940000,6.310000,6.680000,6.680000,21301200
2017-12-08,6.780000,7.230000,6.720000,7.090000,7.090000,13927200
2017-12-11,7.360000,7.470000,7.190000,7.310000,7.310000,9714000
2017-12-12,7.430000,7.430000,7.100000,7.240000,7.240000,8710000
2017-12-13,7.300000,7.340000,6.920000,7.000000,7.000000,7181700
2017-12-14,7.000000,7.190000,7.000000,7.100000,7.100000,4669700
2017-12-15,7.160000,7.180000,7.020000,7.050000,7.050000,3826300
2017-12-18,7.000000,7.040000,6.940000,7.020000,7.020000,3893300
2017-12-19,7.040000,7.130000,6.990000,7.100000,7.100000,3993900
2017-12-20,7.110000,7.150000,6.950000,7.030000,7.030000,5032400
2017-12-21,7.000000,7.030000,6.950000,7.000000,7.000000,3386500
2017-12-22,6.990000,7.400000,6.910000,7.210000,7.210000,9966000
2017-12-27,7.500000,8.050000,7.380000,8.010000,8.010000,18678000
2017-12-28,8.190000,9.000000,8.150000,8.940000,8.940000,27319900
2017-12-29,9.250000,10.520000,8.600000,9.600000,9.600000,51864300
2018-01-02,10.750000,11.900000,10.110000,11.820000,11.820000,38048000
2018-01-03,12.930000,14.880000,12.500000,14.180000,14.180000,64339900
2018-01-04,13.800000,14.000000,11.490000,13.040000,13.040000,57919900
2018-01-05,12.000000,13.490000,11.850000,13.160000,13.160000,30838700
2018-01-08,14.000000,14.160000,13.520000,13.890000,13.890000,23187800
2018-01-09,13.950000,14.150000,13.010000,13.630000,13.630000,25960400
2018-01-10,13.950000,13.950000,13.120000,13.330000,13.330000,13864100
2018-01-11,12.900000,12.950000,12.060000,12.240000,12.240000,23812400
2018-01-12,11.510000,11.640000,9.610000,10.320000,10.320000,38335700
2018-01-15,9.010000,11.510000,8.900000,11.500000,11.500000,23628200
2018-01-16,12.380000,12.940000,11.550000,11.910000,11.910000,25714600
2018-01-17,12.240000,12.600000,11.910000,12.320000,12.320000,12383800
2018-01-18,11.970000,13.460000,11.760000,12.970000,12.970000,25909000
2018-01-19,13.320000,13.620000,13.230000,13.480000,13.480000,15490200
2018-01-22,14.100000,14.500000,13.870000,14.500000,14.500000,22640600
2018-01-23,14.700000,14.970000,13.700000,14.790000,14.790000,25202100
2018-01-24,14.970000,15.200000,13.970000,13.980000,13.980000,32635300
2018-01-25,13.880000,14.100000,12.690000,13.110000,13.110000,25746200
2018-01-26,12.650000,13.700000,12.210000,13.290000,13.290000,24376700
2018-01-29,13.660000,13.750000,12.810000,12.960000,12.960000,14804400
2018-01-30,12.300000,12.680000,11.620000,11.620000,11.620000,19399900
2018-01-31,11.500000,12.240000,10.960000,11.700000,11.700000,20477900
2018-02-01,11.800000,12.000000,9.960000,10.220000,10.220000,30897900
2018-02-02,9.530000,9.750000,8.470000,8.500000,8.500000,41216800
2018-02-05,7.700000,10.240000,7.110000,9.250000,9.250000,53837400
2018-02-06,9.880000,11.590000,9.280000,11.530000,11.530000,36758900
2018-02-07,12.070000,12.550000,10.610000,11.150000,11.150000,40818400
2018-02-08,11.810000,12.070000,10.810000,11.150000,11.150000,22477100
2018-02-09,11.090000,11.440000,10.500000,11.330000,11.330000,25018700
2018-02-12,11.380000,11.710000,11.150000,11.310000,11.310000,14984500
2018-02-13,11.230000,11.330000,11.010000,11.150000,11.150000,7296500
2018-02-14,11.320000,11.340000,11.070000,11.140000,11.140000,7142200
2018-02-15,11.140000,11.150000,10.830000,10.850000,10.850000,7800000
2018-02-16,10.040000,10.670000,9.960000,10.130000,10.130000,12879000
2018-02-20,10.160000,11.090000,10.150000,10.960000,10.960000,14633000
2018-02-21,10.960000,11.070000,10.560000,10.720000,10.720000,8776400
2018-02-22,10.620000,10.870000,10.610000,10.770000,10.770000,4785200
2018-02-23,10.790000,10.830000,10.570000,10.570000,10.570000,4045200
2018-02-26,10.730000,10.760000,10.070000,10.160000,10.160000,7727200
2018-02-27,10.240000,10.250000,9.530000,9.890000,9.890000,12089200
2018-02-28,9.820000,10.490000,9.580000,10.400000,10.400000,12100100
2018-03-01,10.590000,10.790000,10.340000,10.780000,10.780000,11346500
2018-03-02,10.510000,10.740000,10.410000,10.630000,10.630000,6255600
2018-03-05,10.550000,11.280000,10.500000,11.260000,11.260000,10423300
2018-03-06,11.500000,11.980000,11.400000,11.740000,11.740000,15579500
2018-03-07,11.680000,11.970000,11.150000,11.210000,11.210000,11096200
2018-03-08,11.390000,11.590000,11.100000,11.200000,11.200000,7211500
2018-03-09,11.400000,11.580000,11.220000,11.330000,11.330000,6680200
2018-03-12,11.580000,11.680000,11.210000,11.650000,11.650000,7362600
2018-03-13,11.650000,11.770000,11.400000,11.400000,11.400000,7131300
2018-03-14,11.400000,11.430000,11.190000,11.300000,11.300000,4872700
2018-03-15,11.270000,11.380000,11.140000,11.250000,11.250000,7220100
2018-03-16,11.130000,11.220000,10.840000,10.950000,10.950000,39584100
2018-03-19,10.950000,11.130000,10.700000,10.800000,10.800000,9627200
2018-03-20,10.700000,10.770000,10.290000,10.300000,10.300000,8599700
2018-03-21,10.180000,10.520000,9.950000,10.080000,10.080000,8604000
2018-03-22,9.960000,10.090000,9.520000,9.630000,9.630000,11243600
2018-03-23,10.380000,10.400000,10.110000,10.110000,10.110000,10022300
2018-03-26,10.210000,10.250000,9.760000,9.900000,9.900000,7975300
2018-03-27,9.980000,10.010000,9.510000,9.530000,9.530000,6455900
2018-03-28,9.500000,9.530000,8.940000,9.030000,9.030000,10536200
2018-03-29,8.960000,9.450000,8.810000,9.300000,9.300000,9794800
2018-04-02,9.300000,9.340000,8.640000,9.070000,9.070000,9733000
2018-04-03,8.900000,9.170000,8.010000,8.070000,8.070000,13594200
2018-04-04,7.700000,7.960000,7.300000,7.620000,7.620000,19996700
2018-04-05,7.900000,8.500000,7.750000,8.440000,8.440000,15128300
2018-04-06,8.150000,8.245000,7.840000,8.100000,8.100000,11478800
2018-04-09,8.130000,8.150000,7.330000,7.400000,7.400000,11515500
2018-04-10,7.150000,7.990000,6.750000,7.890000,7.890000,22878100
2018-04-11,7.880000,8.240000,7.610000,7.930000,7.930000,14389800
2018-04-12,8.030000,8.230000,7.880000,8.040000,8.040000,6611700
2018-04-13,8.060000,8.850000,7.930000,8.730000,8.730000,17539400
2018-04-16,9.050000,9.190000,8.850000,8.930000,8.930000,11661200
2018-04-17,9.010000,9.090000,8.370000,8.440000,8.440000,11112500
2018-04-18,8.450000,8.770000,8.410000,8.630000,8.630000,7378300
2018-04-19,8.650000,8.800000,8.470000,8.740000,8.740000,6298300
2018-04-20,8.740000,8.800000,8.580000,8.610000,8.610000,5111300
2018-04-23,8.600000,8.680000,8.000000,8.020000,8.020000,6986000
2018-04-24,7.960000,8.380000,7.890000,8.240000,8.240000,7477200
2018-04-25,8.260000,8.290000,7.780000,7.800000,7.800000,7821700
