Date,Open,High,Low,Close,Adj Close,Volume
9/18/2018,7.85,8.51,7.713,8.51,8.51,22551100
9/19/2018,8.955,9.7,7.88,8.44,8.44,39189300
9/20/2018,9.025,9.5,8.43,9.49,9.49,22521500
9/21/2018,9.32,9.47,9,9.222,9.222,15634300
9/24/2018,9.1,9.55,8.85,9.465,9.465,11630700
9/25/2018,9.995,10.42,9.697,9.811,9.811,18294600
9/26/2018,9.965,10.02,9.27,9.38,9.38,13828700
9/27/2018,9.205,9.315,8.88,8.957,8.957,10096700
9/28/2018,8.88,9.65,8.65,9.6,9.6,9355700
10/1/2018,9.98,10.1,9.496,9.703,9.703,9723100
10/2/2018,9.54,9.57,9.2,9.305,9.305,7034900
10/3/2018,9.305,9.77,9.1,9.755,9.755,7605600
10/4/2018,9.805,9.86,9.27,9.46,9.46,6305600
10/5/2018,9.4,9.94,9.23,9.872,9.872,6312800
10/8/2018,9.995,10.5,9.99,10.465,10.465,10139100
10/9/2018,10.34,10.5,10.09,10.197,10.197,9691000
10/10/2018,10.19,10.33,9.812,10.046,10.046,9816500
10/11/2018,9.805,9.93,9.56,9.72,9.72,6993600
10/12/2018,9.86,10.52,9.8,10.52,10.52,9261000
10/15/2018,10.875,11.73,10.768,11.68,11.68,13984200
10/16/2018,12.3,12.525,10.594,10.81,10.81,19951400
10/17/2018,9.85,10.85,9.193,10.44,10.44,17358300
10/18/2018,10.68,11,10.15,10.52,10.52,9434400
10/19/2018,10.74,10.902,9.68,9.966,9.966,10143200
10/22/2018,10.155,10.3,8.13,8.69,8.69,19766500
10/23/2018,7.51,8.63,7.01,7.7,7.7,39836200
10/24/2018,8.22,8.23,7.15,7.27,7.27,27674800
10/25/2018,7.08,7.69,7,7.49,7.49,21348600
10/26/2018,7.16,7.52,6.85,7.04,7.04,13482300
10/29/2018,7.09,7.17,5.75,5.91,5.91,27509300
10/30/2018,5.56,6.26,5.39,6.09,6.09,20408400
10/31/2018,6.39,6.84,6.19,6.8,6.8,20601500
11/1/2018,6.94,7.1,6.6,6.73,6.73,16903200
11/2/2018,6.8,7.02,6.67,7.02,7.02,12111000
11/5/2018,7.18,7.35,6.85,7.35,7.35,12628900
11/6/2018,7.34,7.68,7.11,7.4,7.4,17263600
11/7/2018,7.7,8.12,7.3,8.08,8.08,29610000
11/8/2018,7.89,7.92,7.5,7.56,7.56,17339100
11/9/2018,7.27,7.42,7,7.29,7.29,14485400
11/12/2018,7.49,7.69,6.62,6.96,6.96,24962400
11/13/2018,6.78,6.97,6.6,6.7,6.7,12273600
11/14/2018,6.4,6.46,6,6.16,6.16,19573500
11/15/2018,6.04,6.78,5.98,6.64,6.64,14072200
11/16/2018,6.56,6.68,6.3,6.4,6.4,8459900
11/19/2018,6.23,6.26,6.06,6.09,6.09,9544700
11/20/2018,5.682,6.3,5.62,6.03,6.03,17290000
11/21/2018,6.21,6.37,6.15,6.25,6.25,8051600
11/23/2018,6.08,6.11,5.97,6.07,6.07,5543700
11/26/2018,6.16,6.17,5.65,5.68,5.68,14169100
11/27/2018,5.73,5.8,5.31,5.5,5.5,14715400
11/28/2018,5.54,5.97,5.5,5.96,5.96,13290500
11/29/2018,5.92,5.94,5.62,5.66,5.66,9767500
11/30/2018,5.7,5.74,5.52,5.72,5.72,6529300
12/3/2018,5.95,5.97,5.4,5.69,5.69,20457100
12/4/2018,5.63,5.66,5.35,5.4,5.4,13066300
12/6/2018,4.79,5.365,4.695,5.28,5.28,19970400
12/7/2018,5.84,5.88,5.54,5.75,5.75,22267500
12/10/2018,5.9,5.92,5.49,5.73,5.73,11875300
12/11/2018,5.8,6.02,5.75,5.93,5.93,15944600
12/12/2018,6.04,6.23,5.95,6.12,6.12,13420700
12/13/2018,6.18,6.2,5.55,5.71,5.71,14300400
12/14/2018,5.51,5.96,5.33,5.86,5.86,11469400
12/17/2018,5.76,6.01,5.48,5.54,5.54,10544700
12/18/2018,5.62,5.72,5.44,5.53,5.53,9976000
12/19/2018,5.51,5.6,5.28,5.29,5.29,8597400
12/20/2018,5.25,5.4,4.9,5.1,5.1,12442700
12/21/2018,5.16,5.16,4.78,4.88,4.88,11137900
12/24/2018,4.67,5.09,4.58,5,5,7874200
12/26/2018,5.13,5.14,4.86,5.08,5.08,6694400
12/27/2018,4.98,5.12,4.79,5.1,5.1,10392500
12/28/2018,5.08,5.3,4.9,5.23,5.23,11608200
12/31/2018,5.26,5.281,4.94,4.96,4.96,10376400
1/2/2019,4.89,5.28,4.83,5.24,5.24,8928300
1/3/2019,5.18,5.29,5.08,5.14,5.14,6247500
1/4/2019,5.21,5.35,5.142,5.22,5.22,8379200
1/7/2019,5.3,5.35,5.21,5.26,5.26,6258600
1/8/2019,5.32,5.35,5,5.03,5.03,13902200
1/9/2019,5.07,5.54,5.04,5.45,5.45,16451700
1/10/2019,5.48,6,5.33,5.94,5.94,26166300
1/11/2019,5.9,6.61,5.78,6.38,6.38,32336400
1/14/2019,6.59,6.84,6.41,6.78,6.78,32229700
1/15/2019,6.97,7.52,6.83,7,7,50041400
1/16/2019,7.12,7.41,7.02,7.33,7.33,27558000
1/17/2019,6.73,7.08,6.56,6.57,6.57,41642300
1/18/2019,6.68,6.84,6.2,6.44,6.44,39328600
1/22/2019,6.36,6.44,6.14,6.19,6.19,16793200
1/23/2019,6.23,6.35,6.11,6.19,6.19,11245000
1/24/2019,6.18,6.62,6.15,6.62,6.62,15818800
1/25/2019,6.81,6.9,6.6,6.72,6.72,19373600
1/28/2019,6.66,7.14,6.55,7.1,7.1,27626900
1/29/2019,7.16,7.34,6.76,6.89,6.89,24807700
1/30/2019,6.96,7.04,6.81,6.93,6.93,14394400
1/31/2019,6.98,7.118,6.89,7.09,7.09,16239100
2/1/2019,7.12,7.45,7.06,7.4,7.4,29410800
