Date,Open,High,Low,Close,Adj Close,Volume
9/18/2017,6.46,6.77,6.4,6.75,6.75,1837700
9/19/2017,6.76,6.93,6.63,6.86,6.86,1808500
9/20/2017,6.86,6.88,6.68,6.74,6.74,1644300
9/21/2017,6.74,6.74,6.54,6.61,6.61,738300
9/22/2017,6.52,6.68,6.52,6.65,6.65,580600
9/25/2017,6.66,6.77,6.66,6.68,6.68,929800
9/26/2017,6.71,6.73,6.62,6.67,6.67,402900
9/27/2017,6.7,6.82,6.67,6.81,6.81,719500
9/28/2017,6.82,6.87,6.72,6.86,6.86,1004300
9/29/2017,6.89,7.23,6.86,7.12,7.12,2208300
10/2/2017,7.21,7.38,7.16,7.31,7.31,2146700
10/3/2017,7.35,7.43,7.07,7.16,7.16,2333700
10/4/2017,7.24,7.36,7.18,7.34,7.34,1408200
10/5/2017,7.41,7.79,7.38,7.68,7.68,3242700
10/6/2017,7.86,7.88,7.15,7.45,7.45,4069800
10/10/2017,7.63,7.67,7.52,7.6,7.6,1202500
10/11/2017,7.51,7.92,7.36,7.84,7.84,2726100
10/12/2017,7.81,7.88,7.63,7.8,7.8,2205500
10/13/2017,7.76,7.87,7.7,7.78,7.78,1941700
10/16/2017,7.87,8.08,7.8,7.92,7.92,2000700
10/17/2017,7.02,7.33,6.76,6.86,6.86,9926800
10/18/2017,6.76,6.9,6.57,6.74,6.74,3086400
10/19/2017,6.73,6.8,6.31,6.5,6.5,2884500
10/20/2017,6.5,6.96,6.5,6.94,6.94,3279700
10/23/2017,7.09,7.12,6.97,7,7,1785400
10/24/2017,7.09,7.12,6.83,6.94,6.94,1231400
10/25/2017,6.96,7.02,6.84,6.9,6.9,852400
10/26/2017,6.89,6.94,6.81,6.84,6.84,553800
10/27/2017,6.83,6.88,6.72,6.75,6.75,942100
10/30/2017,7.15,7.48,7.02,7.29,7.29,5148600
10/31/2017,7.35,7.89,7.22,7.7,7.7,5665700
11/1/2017,7.95,7.95,7.54,7.8,7.8,4107400
11/2/2017,7.8,7.8,7.51,7.56,7.56,2008800
11/3/2017,7.63,7.77,7.55,7.75,7.75,2078000
11/6/2017,7.9,8.44,7.86,8.44,8.44,5822400
11/7/2017,8.55,8.9,8.23,8.47,8.47,7727000
11/8/2017,8.47,8.75,8.22,8.36,8.36,4672400
11/9/2017,8.25,8.34,7.8,8.19,8.19,2844700
11/10/2017,8.28,8.63,8.28,8.53,8.53,3513000
11/13/2017,8.79,9.25,8.65,9.17,9.17,5526300
11/14/2017,9.38,9.48,8.66,9.05,9.05,5648100
11/15/2017,9.11,9.25,8.91,8.96,8.96,2844200
11/16/2017,8.8,8.85,7.9,8.6,8.6,3937300
11/17/2017,8.16,8.95,8.13,8.86,8.86,3365100
11/20/2017,8.94,9.1,8.81,8.89,8.89,2103400
11/21/2017,8.95,9.12,8.74,8.92,8.92,1797700
11/22/2017,8.94,9.05,8.88,9.01,9.01,1371600
11/23/2017,9.28,9.35,9.14,9.29,9.29,1404700
11/24/2017,9.44,10.25,9.4,10.21,10.21,3099900
11/27/2017,10.66,12.2,10.55,12.06,12.06,9011100
11/28/2017,12.65,12.74,10.51,11.47,11.47,9034900
11/29/2017,11.03,11.42,10.43,10.55,10.55,5258300
11/30/2017,10.05,11.48,9.89,11.48,11.48,6108300
12/1/2017,11.31,11.79,11,11.4,11.4,3143200
12/4/2017,11.74,11.74,11.37,11.62,11.62,1719700
12/5/2017,14.48,14.89,13,13.53,13.53,12022900
12/6/2017,13.55,13.6,12.87,13.3,13.3,3693300
12/7/2017,13.29,13.89,12.88,13.05,13.05,4149900
12/8/2017,13.26,13.58,13.15,13.47,13.47,2663100
12/11/2017,13.55,14.12,13.32,14.06,14.06,3926100
12/12/2017,14.15,15.18,14.07,15.15,15.15,5693900
12/13/2017,14.4,14.64,14.1,14.15,14.15,6775400
12/14/2017,14.29,14.48,14.13,14.21,14.21,2459500
12/15/2017,14.33,14.4,14.1,14.38,14.38,6934800
12/18/2017,14.51,14.58,14.38,14.4,14.4,2125800
12/19/2017,14.52,14.84,14.43,14.81,14.81,2195000
12/20/2017,14.86,14.92,14.4,14.47,14.47,2511100
12/21/2017,14.51,15.1,14.51,14.93,14.93,3118700
12/22/2017,15.06,15.65,14.68,15.28,15.28,3774600
12/27/2017,16,16.99,15.8,16.9,16.9,5492700
12/28/2017,17.6,18.200001,17.030001,18,18,5944700
12/29/2017,18.76,19.83,15.63,18.700001,18.700001,8936300
1/2/2018,19.43,20.48,19.01,20.190001,20.190001,5312800
1/3/2018,21.07,21.969999,20.24,21.459999,21.459999,6599600
1/4/2018,20.5,20.5,16.6,18.5,18.5,9902300
1/5/2018,17.5,19.629999,17,19.16,19.16,5467400
1/8/2018,20.5,22,20.139999,21.99,21.99,6572700
1/9/2018,22,24.75,21.1,22.889999,22.889999,9776600
1/10/2018,24.1,24.35,21.99,22.58,22.58,6225900
1/11/2018,22,22.219999,20.139999,20.549999,20.549999,7142900
1/12/2018,19,19.5,16.6,18.02,18.02,11206600
1/15/2018,17,21.799999,16.75,21.700001,21.700001,6464500
1/16/2018,23.5,23.559999,20.33,21.65,21.65,9015200
1/17/2018,21.690001,22.49,21.129999,22.049999,22.049999,4658900
1/18/2018,21.610001,22.18,21.26,21.91,21.91,3542500
1/19/2018,22.110001,22.42,21.84,22.190001,22.190001,2989100
1/22/2018,22.459999,22.6,21.85,22.08,22.08,3001800
1/23/2018,21.940001,22.190001,21.17,21.549999,21.549999,3006500
1/24/2018,21.4,21.540001,20.35,20.709999,20.709999,4227800
1/25/2018,20.4,20.5,18.790001,19.110001,19.110001,4477500
1/26/2018,18.700001,20.559999,18.110001,20.16,20.16,4994300
1/29/2018,20.4,20.5,18.74,18.99,18.99,5798500
1/30/2018,18.370001,18.719999,17.57,17.709999,17.709999,5631000
1/31/2018,17.799999,18.879999,17.5,17.67,17.67,4257600
2/1/2018,17.92,18.15,14.9,15.48,15.48,8950100
2/2/2018,14.9,14.99,13.33,13.88,13.88,8663900
2/5/2018,12.5,15.94,12.41,14.05,14.05,12374000
2/6/2018,14.71,16.65,14.18,16.639999,16.639999,7482200
2/7/2018,17.9,17.950001,15.37,16.299999,16.299999,6974100
2/8/2018,16.790001,16.790001,15.43,15.99,15.99,2809600
2/9/2018,15.8,16.35,14.87,16.08,16.08,3559500
2/12/2018,16.379999,16.790001,15.57,15.64,15.64,2802500
2/13/2018,15.64,15.86,15.25,15.54,15.54,1761000
2/14/2018,15.75,15.78,15.39,15.52,15.52,2377800
2/15/2018,15.58,15.69,14.76,14.88,14.88,2760800
2/16/2018,14.26,14.66,13.77,14.06,14.06,2524900
2/20/2018,14.05,15.41,13.86,14.93,14.93,4406700
2/21/2018,15,15.14,14.42,14.45,14.45,2593200
2/22/2018,14.6,14.69,14.07,14.12,14.12,1687600
2/23/2018,14.25,14.3,13.7,13.89,13.89,1823300
2/26/2018,14.06,14.1,12.89,12.92,12.92,4268600
2/27/2018,12.94,12.95,11.89,12.5,12.5,5607800
2/28/2018,12.24,13.8,12.03,13.23,13.23,4551000
3/1/2018,13.4,14.08,13.17,14.04,14.04,3632500
3/2/2018,13.89,14.02,13.53,13.72,13.72,2468200
