Date,Open,High,Low,Close,Adj Close,Volume
9/18/2018,5,5.25,4.85,5.1,5.1,1105700
9/19/2018,5.15,5.25,5.1,5.175,5.175,653300
9/20/2018,5.35,8.35,5.225,7.95,7.95,18456400
9/21/2018,7.3,7.35,6.35,6.95,6.95,9276100
9/24/2018,7,7.3,6.55,7.25,7.25,2507500
9/25/2018,7.25,7.45,6.6,6.65,6.65,1903000
9/26/2018,6.75,7.6,6.7,7.05,7.05,2400100
9/27/2018,7.25,7.5,6.85,7.2,7.2,1733800
9/28/2018,7.2,7.835,7.1,7.55,7.55,1850800
10/1/2018,7.68,7.8,7.28,7.5,7.5,1597300
10/2/2018,7.36,8.57,6.75,7.97,7.97,7135100
10/3/2018,8.4,8.44,7.52,7.71,7.71,2004600
10/4/2018,7.6,7.75,6.95,7.15,7.15,1897300
10/5/2018,7.15,7.24,6.59,6.84,6.84,1290400
10/8/2018,7,7,6.55,6.79,6.79,822000
10/9/2018,6.76,7.14,6.65,6.93,6.93,941700
10/10/2018,6.88,7.09,6.6,6.6,6.6,941300
10/11/2018,6.57,6.86,6.5,6.56,6.56,768300
10/12/2018,6.78,7.18,6.55,6.74,6.74,1162400
10/15/2018,6.72,7.095,6.45,6.92,6.92,889600
10/16/2018,7.04,7.42,6.77,7.27,7.27,2065600
10/17/2018,7.22,7.61,6.87,7.52,7.52,1605800
10/18/2018,7.46,8,7.224,7.8,7.8,1949600
10/19/2018,7.79,7.79,7,7.25,7.25,1706100
10/22/2018,7.22,7.43,6.97,7.18,7.18,861100
10/23/2018,6.98,7.39,6.77,7.14,7.14,1152200
10/24/2018,7.53,7.8,6.75,6.86,6.86,1967400
10/25/2018,6.94,7.34,6.76,6.86,6.86,1198900
10/26/2018,6.77,7.19,6.63,6.77,6.77,776000
10/29/2018,6.9,7.02,6.375,6.53,6.53,1046600
10/30/2018,6.5,6.84,6.45,6.6,6.6,536300
10/31/2018,6.73,6.75,6.51,6.66,6.66,573200
11/1/2018,6.69,7.25,6.68,7.14,7.14,1127200
11/2/2018,7.2,7.29,6.96,7.28,7.28,776700
11/5/2018,7.3,7.4,7.04,7.16,7.16,591600
11/6/2018,7.17,7.36,7.06,7.3,7.3,444300
11/7/2018,7.37,7.75,7.31,7.62,7.62,1420400
11/8/2018,7.6,7.66,6.81,6.875,6.875,1475800
11/9/2018,6.86,7.1,6.61,6.61,6.61,942500
11/12/2018,6.68,6.695,6.4,6.52,6.52,613100
11/13/2018,6.54,6.77,6.29,6.36,6.36,630300
11/14/2018,6.45,6.48,5.67,5.87,5.87,1290500
11/15/2018,6,6.19,5.915,6.06,6.06,659800
11/16/2018,6.04,6.205,5.88,6.07,6.07,627600
11/19/2018,6.05,6.17,5.93,6.07,6.07,527300
11/20/2018,5.97,6.176,5.91,6.07,6.07,421400
11/21/2018,6.12,6.34,6.021,6.18,6.18,294500
11/23/2018,6.08,6.42,6,6.29,6.29,229800
11/26/2018,6.37,6.48,6.17,6.29,6.29,279500
11/27/2018,6.22,6.46,6.17,6.33,6.33,282600
11/28/2018,6.39,6.84,6.27,6.79,6.79,648100
11/29/2018,6.76,6.85,6.51,6.64,6.64,288800
