Date,Open,High,Low,Close,Adj Close,Volume
2017-09-18,2.400000,2.640000,2.400000,2.600000,2.600000,297700
2017-09-19,2.700000,2.720000,2.610000,2.680000,2.680000,240100
2017-09-20,2.630000,2.650000,2.560000,2.630000,2.630000,180600
2017-09-21,2.670000,2.670000,2.570000,2.580000,2.580000,135000
2017-09-22,2.620000,2.650000,2.590000,2.610000,2.610000,60300
2017-09-25,2.650000,2.650000,2.530000,2.530000,2.530000,259400
2017-09-26,2.510000,2.590000,2.460000,2.590000,2.590000,143100
2017-09-27,2.580000,2.610000,2.520000,2.590000,2.590000,73800
2017-09-28,2.580000,2.650000,2.580000,2.650000,2.650000,74100
2017-09-29,2.650000,2.670000,2.610000,2.610000,2.610000,119700
2017-10-02,2.600000,2.700000,2.600000,2.680000,2.680000,220100
2017-10-03,2.710000,2.790000,2.700000,2.750000,2.750000,263300
2017-10-04,2.750000,2.840000,2.680000,2.830000,2.830000,193400
2017-10-05,2.850000,3.050000,2.820000,3.000000,3.000000,619400
2017-10-06,3.050000,3.090000,2.850000,2.960000,2.960000,370000
2017-10-10,2.980000,3.020000,2.920000,2.990000,2.990000,138800
2017-10-11,3.000000,3.080000,2.960000,3.080000,3.080000,327200
2017-10-12,3.130000,3.190000,3.090000,3.160000,3.160000,544700
2017-10-13,3.190000,3.300000,3.190000,3.250000,3.250000,602600
2017-10-16,3.300000,3.530000,3.300000,3.470000,3.470000,890500
2017-10-17,3.420000,3.420000,3.000000,3.310000,3.310000,812100
2017-10-18,3.200000,3.420000,3.170000,3.420000,3.420000,317200
2017-10-19,3.190000,3.190000,3.010000,3.030000,3.030000,744000
2017-10-20,3.050000,3.230000,3.050000,3.150000,3.150000,376500
2017-10-23,3.250000,3.280000,3.170000,3.200000,3.200000,232000
2017-10-24,3.230000,3.250000,3.140000,3.150000,3.150000,179400
2017-10-25,3.180000,3.190000,3.100000,3.100000,3.100000,123200
2017-10-26,3.180000,3.190000,3.130000,3.170000,3.170000,71200
2017-10-27,3.180000,3.180000,3.110000,3.120000,3.120000,207700
2017-10-30,3.300000,3.400000,3.210000,3.240000,3.240000,1224900
2017-10-31,3.280000,3.300000,3.200000,3.260000,3.260000,418200
2017-11-01,3.270000,3.290000,3.190000,3.220000,3.220000,227500
2017-11-02,3.200000,3.250000,3.120000,3.120000,3.120000,216500
2017-11-03,3.150000,3.220000,3.120000,3.180000,3.180000,205800
2017-11-06,3.180000,3.350000,3.130000,3.300000,3.300000,1372700
2017-11-07,3.350000,3.560000,3.270000,3.400000,3.400000,1000300
2017-11-08,3.420000,3.430000,3.250000,3.320000,3.320000,685000
2017-11-09,3.230000,3.310000,3.160000,3.200000,3.200000,447600
2017-11-10,3.280000,3.460000,3.250000,3.430000,3.430000,759000
2017-11-13,3.600000,3.870000,3.580000,3.870000,3.870000,1658600
2017-11-14,4.150000,4.300000,3.680000,4.300000,4.300000,1999100
2017-11-15,4.400000,4.450000,4.050000,4.240000,4.240000,1317300
2017-11-16,4.100000,4.100000,3.690000,3.900000,3.900000,871200
2017-11-17,3.880000,4.180000,3.800000,3.910000,3.910000,755600
2017-11-20,4.070000,4.190000,4.040000,4.110000,4.110000,456500
2017-11-21,4.170000,4.180000,3.960000,4.020000,4.020000,423600
2017-11-22,4.140000,4.150000,3.970000,4.090000,4.090000,508400
2017-11-23,4.130000,4.130000,4.020000,4.080000,4.080000,212700
2017-11-24,4.060000,4.130000,4.050000,4.100000,4.100000,303500
2017-11-27,4.200000,4.490000,4.190000,4.400000,4.400000,1741600
2017-11-28,4.590000,4.650000,4.300000,4.530000,4.530000,1245200
2017-11-29,4.630000,4.780000,3.950000,4.020000,4.020000,1523200
2017-11-30,4.000000,4.350000,3.910000,4.350000,4.350000,775300
2017-12-01,4.430000,4.490000,4.090000,4.180000,4.180000,579300
2017-12-04,4.270000,4.360000,4.030000,4.140000,4.140000,654500
2017-12-05,4.290000,4.290000,4.060000,4.200000,4.200000,515500
2017-12-06,4.250000,4.270000,4.090000,4.230000,4.230000,323000
2017-12-07,4.250000,4.440000,4.230000,4.400000,4.400000,452600
2017-12-08,4.390000,4.500000,4.270000,4.500000,4.500000,419900
2017-12-11,4.560000,4.650000,4.500000,4.620000,4.620000,543500
2017-12-12,4.700000,5.100000,4.630000,5.080000,5.080000,1417600
2017-12-13,5.100000,5.300000,4.850000,4.910000,4.910000,1178100
2017-12-14,4.910000,5.100000,4.720000,4.720000,4.720000,714900
2017-12-15,4.800000,4.930000,4.720000,4.820000,4.820000,363800
2017-12-18,4.950000,5.170000,4.890000,5.090000,5.090000,526900
2017-12-19,5.210000,5.400000,5.130000,5.360000,5.360000,780700
2017-12-20,5.400000,5.440000,5.100000,5.290000,5.290000,855200
2017-12-21,5.330000,5.500000,5.240000,5.470000,5.470000,646900
2017-12-22,5.500000,5.870000,5.500000,5.820000,5.820000,1078900
2017-12-27,6.100000,7.560000,6.100000,6.990000,6.990000,2892700
2017-12-28,7.480000,9.150000,7.300000,8.820000,8.820000,4184000
2017-12-29,7.940000,10.430000,7.720000,9.740000,9.740000,5066000
2018-01-02,9.700000,10.300000,8.900000,10.200000,10.200000,4938800
2018-01-03,10.600000,11.150000,9.500000,10.770000,10.770000,4072000
2018-01-04,10.350000,10.580000,9.100000,9.770000,9.770000,3471000
2018-01-05,9.100000,10.550000,9.010000,10.540000,10.540000,2163000
2018-01-08,11.000000,13.800000,10.910000,13.550000,13.550000,3857200
2018-01-09,13.470000,14.830000,12.350000,13.680000,13.680000,4051800
2018-01-10,14.000000,14.000000,12.850000,13.360000,13.360000,1209700
2018-01-11,12.920000,12.950000,10.660000,11.140000,11.140000,3376700
