Date,Open,High,Low,Close,Adj Close,Volume
9/18/2018,141.539993,151.710007,140.380005,149.199997,149.199997,713700
9/19/2018,154,166.419998,150.100006,153.639999,153.639999,2464500
9/20/2018,155.029999,174.5,154.470001,170.100006,170.100006,2913400
9/21/2018,170.009995,172.5,163,164.979996,164.979996,975800
9/24/2018,164.160004,169.5,162.089996,166.520004,166.520004,523500
9/25/2018,167.559998,173.660004,166.639999,170,170,634400
9/26/2018,170,172.399994,161.600006,163.119995,163.119995,631800
9/27/2018,169.179993,179.649994,167,174.5,174.5,2308200
9/28/2018,178.899994,179,170.279999,172.740005,172.740005,940400
10/1/2018,174.520004,175,166.399994,167.259995,167.259995,546500
10/2/2018,164.990005,167.669998,157.470001,162.330002,162.330002,1116100
10/3/2018,164.5,167.300003,160.25,164.070007,164.070007,1332500
10/4/2018,163.009995,163.789993,154.259995,156.949997,156.949997,805100
10/5/2018,157.789993,159.5,147.919998,151.720001,151.720001,739200
10/8/2018,152,152.649994,143.210007,146.059998,146.059998,729300
10/9/2018,145.309998,149.429993,144,146.199997,146.199997,438100
10/10/2018,146.190002,147.389999,139.100006,139.440002,139.440002,673800
10/11/2018,139.070007,146.979996,137.270004,140.960007,140.960007,1005200
10/12/2018,144.660004,146.350006,142.119995,143.320007,143.320007,471000
10/15/2018,145.630005,146.800003,143.050003,143.229996,143.229996,458500
10/16/2018,147.350006,149.660004,143.880005,147.470001,147.470001,578700
10/17/2018,147.779999,149.410004,141.229996,147.229996,147.229996,563000
10/18/2018,146.869995,148.570007,142.289993,145.309998,145.309998,423600
10/19/2018,146.059998,148.380005,141.699997,142.589996,142.589996,412200
10/22/2018,142.960007,144.020004,131.410004,139.660004,139.660004,757100
10/23/2018,134.509995,143.479996,134.5,143.199997,143.199997,717100
10/24/2018,142.429993,145.520004,135.779999,136.169998,136.169998,749900
10/25/2018,137.25,141.5,135,138.210007,138.210007,424400
10/26/2018,136.399994,137.990005,133.809998,135.899994,135.899994,511500
10/29/2018,139.350006,139.490005,131.479996,133.690002,133.690002,461700
10/30/2018,130,136.649994,130,131.929993,131.929993,426400
10/31/2018,133.880005,139.240005,133,137.490005,137.490005,353500
11/1/2018,139.410004,148.960007,138.059998,147.25,147.25,550600
11/2/2018,150,151.960007,144.619995,145.710007,145.710007,454100
11/5/2018,146.5,146.800003,141.699997,143.619995,143.619995,303100
