Date,Open,High,Low,Close,Adj Close,Volume
1/8/2018,4.35,4.56,4.12,4.24,4.24,9983500
1/9/2018,4.49,4.56,4.15,4.21,4.21,7343500
1/10/2018,null,null,null,null,null,null
1/11/2018,null,null,null,null,null,null
1/12/2018,null,null,null,null,null,null
1/15/2018,null,null,null,null,null,null
1/16/2018,null,null,null,null,null,null
1/17/2018,4.4,4.45,4.24,4.4,4.4,2802200
1/18/2018,null,null,null,null,null,null
1/19/2018,4.34,4.44,4.26,4.44,4.44,2027700
1/22/2018,null,null,null,null,null,null
1/23/2018,5.04,5.25,4.75,5,5,6806900
1/24/2018,null,null,null,null,null,null
1/25/2018,null,null,null,null,null,null
1/26/2018,null,null,null,null,null,null
1/29/2018,null,null,null,null,null,null
1/30/2018,null,null,null,null,null,null
1/31/2018,null,null,null,null,null,null
2/1/2018,null,null,null,null,null,null
2/2/2018,null,null,null,null,null,null
2/5/2018,null,null,null,null,null,null
2/6/2018,null,null,null,null,null,null
2/7/2018,null,null,null,null,null,null
2/8/2018,null,null,null,null,null,null
2/9/2018,null,null,null,null,null,null
2/12/2018,null,null,null,null,null,null
2/13/2018,null,null,null,null,null,null
2/14/2018,4.3,4.38,4.05,4.18,4.18,5315600
2/15/2018,null,null,null,null,null,null
2/16/2018,null,null,null,null,null,null
2/20/2018,null,null,null,null,null,null
2/21/2018,null,null,null,null,null,null
2/22/2018,null,null,null,null,null,null
2/23/2018,3.91,3.95,3.7,3.83,3.83,1505800
2/26/2018,null,null,null,null,null,null
2/27/2018,null,null,null,null,null,null
2/28/2018,null,null,null,null,null,null
3/1/2018,null,null,null,null,null,null
3/2/2018,null,null,null,null,null,null
3/5/2018,null,null,null,null,null,null
3/6/2018,null,null,null,null,null,null
3/7/2018,null,null,null,null,null,null
3/8/2018,null,null,null,null,null,null
3/9/2018,null,null,null,null,null,null
3/12/2018,null,null,null,null,null,null
3/13/2018,null,null,null,null,null,null
3/14/2018,null,null,null,null,null,null
3/15/2018,3.95,4.06,3.91,4.02,4.02,1192300
3/16/2018,null,null,null,null,null,null
3/19/2018,null,null,null,null,null,null
3/20/2018,null,null,null,null,null,null
3/21/2018,null,null,null,null,null,null
3/22/2018,null,null,null,null,null,null
3/23/2018,null,null,null,null,null,null
3/26/2018,4.35,4.35,4.22,4.26,4.26,1067300
3/27/2018,null,null,null,null,null,null
3/28/2018,null,null,null,null,null,null
3/29/2018,null,null,null,null,null,null
4/2/2018,null,null,null,null,null,null
4/3/2018,null,null,null,null,null,null
4/4/2018,null,null,null,null,null,null
4/5/2018,null,null,null,null,null,null
4/6/2018,null,null,null,null,null,null
4/9/2018,null,null,null,null,null,null
4/10/2018,null,null,null,null,null,null
4/11/2018,null,null,null,null,null,null
4/12/2018,null,null,null,null,null,null
4/13/2018,4.13,4.41,4.09,4.27,4.27,3377000
4/16/2018,null,null,null,null,null,null
4/17/2018,null,null,null,null,null,null
