Date,Open,High,Low,Close,Adj Close,Volume
2017-09-18,32.590000,32.678001,32.590000,32.639999,31.096395,1500
2017-09-19,32.240002,32.240002,32.240002,32.240002,30.715315,200
2017-09-20,32.250000,32.689999,32.250000,32.570000,31.029707,1000
2017-09-21,32.330002,32.459999,32.330002,32.360001,30.829641,700
2017-09-22,32.000000,32.500000,32.000000,32.419998,30.886799,600
2017-09-25,32.000000,32.000000,31.754999,32.000000,30.486666,1200
2017-09-26,32.000000,32.000000,32.000000,32.000000,30.486666,900
2017-09-27,31.700001,31.700001,31.000000,31.379999,29.895985,800
2017-09-28,31.379999,31.379999,31.379999,31.379999,29.895985,0
2017-09-29,31.690001,31.690001,31.690001,31.690001,30.191326,200
2017-10-02,31.690001,31.690001,31.690001,31.690001,30.191326,0
2017-10-03,31.763000,32.029999,31.763000,32.029999,30.515245,800
2017-10-04,32.200001,32.200001,32.200001,32.200001,30.677208,100
2017-10-05,32.049999,32.195000,32.049999,32.195000,30.672441,1500
2017-10-06,32.195000,32.195000,32.195000,32.195000,30.672441,0
2017-10-09,31.780001,31.780001,31.120001,31.230000,29.753078,7500
2017-10-10,31.420000,31.530001,31.010000,31.020000,29.553011,1500
2017-10-11,30.969999,30.969999,30.969999,30.969999,29.505375,300
2017-10-12,30.969999,30.969999,30.969999,30.969999,29.505375,0
2017-10-13,31.120001,31.120001,31.120001,31.120001,29.648281,400
2017-10-16,31.120001,31.120001,31.120001,31.120001,29.648281,0
2017-10-17,31.150000,31.150000,30.920000,30.920000,29.457741,5900
2017-10-18,31.264000,31.264000,31.264000,31.264000,29.785469,800
2017-10-19,31.170000,31.270000,31.023001,31.023001,29.555870,1200
2017-10-20,31.100000,31.100000,31.100000,31.100000,29.629227,300
2017-10-23,30.823000,30.920000,30.350000,30.350000,28.914694,5400
2017-10-24,30.426001,30.426001,30.160000,30.160000,28.733681,3000
2017-10-25,30.420000,30.420000,30.111000,30.219999,28.790844,2900
2017-10-26,30.548000,30.548000,30.450001,30.450001,29.009968,300
2017-10-27,30.450001,30.450001,30.450001,30.450001,29.009968,0
2017-10-30,29.879999,29.879999,29.740000,29.740000,28.333542,2900
2017-10-31,29.740000,29.740000,29.740000,29.740000,28.333542,0
2017-11-01,30.035999,30.035999,30.035999,30.035999,28.615543,300
2017-11-02,30.360001,30.360001,30.219999,30.219999,28.790844,400
2017-11-03,30.219999,30.219999,30.219999,30.219999,28.790844,0
2017-11-06,30.219999,30.219999,30.219999,30.219999,28.790844,0
2017-11-07,30.098000,30.098000,30.098000,30.098000,28.674614,500
2017-11-08,30.090000,30.200001,29.990000,30.200001,28.771790,3100
2017-11-09,30.209000,30.209000,30.014000,30.020000,28.600304,1700
2017-11-10,29.709999,29.850000,29.709999,29.750000,28.343071,2600
2017-11-13,29.690001,29.690001,29.209999,29.496000,28.101082,4700
2017-11-14,29.650000,29.650000,29.089001,29.150000,27.771446,4000
2017-11-15,29.040001,29.099001,28.600000,28.978001,27.607582,3200
