Date,Open,High,Low,Close,Adj Close,Volume
5/2/2018,2.5,2.5,1.6,1.75,1.75,71400
5/3/2018,1.76,1.767,1.22,1.35,1.35,160200
5/4/2018,1.34,5.88,1.272,4.12,4.12,521100
5/7/2018,3.95,3.95,3.74,3.82,3.82,1398400
5/8/2018,3.77,3.87,3.66,3.71,3.71,986500
5/9/2018,3.67,3.71,3.5,3.71,3.71,897000
5/10/2018,3.69,3.8,3.63,3.66,3.66,626300
5/11/2018,3.67,3.67,3.61,3.67,3.67,490400
5/14/2018,3.66,3.87,3.64,3.85,3.85,1296700
5/15/2018,3.91,3.92,3.82,3.84,3.84,483700
5/16/2018,3.85,3.88,3.75,3.75,3.75,420500
5/17/2018,3.79,3.8,3.69,3.73,3.73,342200
5/18/2018,3.76,3.83,3.69,3.79,3.79,440500
5/22/2018,3.97,4,3.89,3.92,3.92,908400
5/23/2018,3.95,3.99,3.9,3.99,3.99,315700
5/24/2018,3.99,4.1,3.98,4.04,4.04,647600
5/25/2018,4.06,4.13,4.04,4.12,4.12,600400
5/28/2018,4.11,4.18,4.04,4.1,4.1,430800
5/29/2018,4.13,4.74,4.12,4.67,4.67,1767800
5/30/2018,4.69,5.48,4.68,5.48,5.48,3758400
5/31/2018,5.53,5.72,5.02,5.67,5.67,3664600
6/1/2018,5.44,6.6,5.37,6.39,6.39,9757500
6/4/2018,6.5,7.25,6.42,6.99,6.99,7677000
6/5/2018,6.87,7.71,6.42,7.69,7.69,8674100
6/6/2018,7.79,8.28,7.69,7.87,7.87,7931400
6/7/2018,8.15,8.15,7.28,7.65,7.65,3681500
6/8/2018,7.5,7.72,7.12,7.66,7.66,2845000
6/11/2018,7.77,7.79,7.29,7.55,7.55,1859300
6/12/2018,7.4,7.4,6.68,6.77,6.77,2824100
6/13/2018,6.53,6.63,6.1,6.11,6.11,3487300
6/14/2018,5.94,6.8,5.89,6.42,6.42,3671100
6/15/2018,6.45,6.92,6.23,6.8,6.8,3913000
6/18/2018,6.85,7.23,6.61,7.1,7.1,2231400
6/19/2018,7.1,7.16,6.91,6.94,6.94,1635600
6/20/2018,7.25,7.26,6.95,7.05,7.05,1719900
6/21/2018,7.05,7.06,6.87,7.05,7.05,1724300
6/22/2018,7.05,7.3,6.9,6.91,6.91,1116000
6/25/2018,6.9,7.11,6.76,6.83,6.83,1059400
6/26/2018,6.8,6.87,6.5,6.53,6.53,982700
6/27/2018,6.53,6.58,6.01,6.01,6.01,1016700
6/28/2018,6.02,6.41,6.01,6.41,6.41,1035800
6/29/2018,6.48,6.6,6.27,6.48,6.48,647300
7/3/2018,6.24,6.39,6.13,6.18,6.18,859700
7/4/2018,6.18,6.18,6.03,6.06,6.06,502600
7/5/2018,6.16,6.19,5.92,6.15,6.15,1102800
7/6/2018,6.07,6.13,5.97,6.07,6.07,339300
7/9/2018,6.09,6.33,6.05,6.1,6.1,881600
7/10/2018,6.14,6.2,6.11,6.14,6.14,331500
7/11/2018,6.12,6.18,6.05,6.1,6.1,285500
7/12/2018,6.14,6.15,6.01,6.1,6.1,275600
7/13/2018,6.03,6.1,5.62,6.04,6.04,1745400
7/16/2018,5.81,5.86,5.66,5.75,5.75,1012300
7/17/2018,5.65,5.7,5.43,5.61,5.61,1026100
7/18/2018,5.6,5.76,5.47,5.69,5.69,358600
7/19/2018,5.81,6.06,5.8,5.83,5.83,478900
7/20/2018,5.85,5.86,5.61,5.79,5.79,266000
7/23/2018,5.86,6.04,5.86,6.03,6.03,488000
7/24/2018,6.06,6.09,5.69,5.69,5.69,565400
7/25/2018,5.77,5.77,5.55,5.7,5.7,201400
7/26/2018,5.7,5.7,5.47,5.48,5.48,623700
7/27/2018,5.56,5.63,5.35,5.42,5.42,396000
7/30/2018,5.5,5.5,5.17,5.17,5.17,389000
7/31/2018,5.1,5.29,4.88,5.15,5.15,712500
8/1/2018,5.2,5.29,5.1,5.25,5.25,373100
8/2/2018,5.25,5.55,5.2,5.5,5.5,487200
8/3/2018,5.48,5.55,5.35,5.54,5.54,295000
8/7/2018,5.54,5.76,5.46,5.65,5.65,574600
8/8/2018,5.68,5.68,5.4,5.5,5.5,486800
8/9/2018,5.51,5.54,5.31,5.45,5.45,296500
8/10/2018,5.42,5.48,5.35,5.41,5.41,234400
8/13/2018,5.42,5.43,5.2,5.25,5.25,529700
8/14/2018,5.24,5.25,4.96,5.02,5.02,414200
8/15/2018,5.15,5.48,4.93,5.35,5.35,1959700
8/16/2018,5.1,5.38,5.08,5.15,5.15,827000
8/17/2018,5.12,5.2,5.08,5.08,5.08,382100
8/20/2018,5.12,5.38,5.1,5.26,5.26,1040100
8/21/2018,5.35,5.35,5.09,5.15,5.15,1016100
8/22/2018,5.1,5.18,4.97,5.09,5.09,866000
8/23/2018,5.08,5.14,5,5.08,5.08,800400
8/24/2018,5.12,5.83,5.07,5.8,5.8,2227400
8/27/2018,6.03,6.22,5.74,5.75,5.75,3358500
8/28/2018,5.46,5.72,5.25,5.61,5.61,2095400
8/29/2018,5.72,5.96,5.62,5.77,5.77,1573300
8/30/2018,5.75,5.83,5.46,5.56,5.56,916300
8/31/2018,5.58,5.81,5.56,5.66,5.66,973300
9/4/2018,5.86,7.1,5.86,7.1,7.1,6996700
9/5/2018,7.3,7.59,6.35,6.52,6.52,5752500
9/6/2018,6.5,6.5,6.01,6.2,6.2,2281900
9/7/2018,6.19,6.57,6.1,6.44,6.44,2033700
9/10/2018,6.54,7.22,6.51,7.12,7.12,3716200
9/11/2018,7.2,7.77,7,7.7,7.7,4038400
9/12/2018,7.71,8.5,7.34,8.4,8.4,5868100
9/13/2018,8.4,8.55,6.9,7.15,7.15,5384500
9/14/2018,6.52,8,6.51,7.42,7.42,4059500
9/17/2018,7.66,7.98,7.54,7.54,7.54,3082400
9/18/2018,7.81,8,7.6,7.71,7.71,3778200
9/19/2018,7.9,10.24,7.74,8.58,8.58,15254400
9/20/2018,8.85,9.24,8.12,8.78,8.78,5229500
9/21/2018,8.69,8.83,8.25,8.25,8.25,2884800
9/24/2018,8,8.43,7.88,8.4,8.4,2175300
9/25/2018,8.47,8.61,7.92,8.04,8.04,2357300
9/26/2018,7.93,8.05,7.37,7.57,7.57,3745500
9/27/2018,7.49,7.58,6.85,6.94,6.94,2070800
9/28/2018,6.94,7.3,6.71,7.21,7.21,1437900
10/1/2018,6.85,7.09,6.52,6.75,6.75,3914400
10/2/2018,6.59,6.7,5.95,5.97,5.97,2864400
10/3/2018,5.99,6.4,5.92,6.25,6.25,1994800
10/4/2018,6.31,6.43,6,6.27,6.27,2421600
10/5/2018,6.34,6.44,6.07,6.37,6.37,1781200
