Date,Open,High,Low,Close,Adj Close,Volume
7/19/2018,23.049999,24,20.1,22.389999,22.389999,11934500
7/20/2018,24.25,31.799999,23.5,29.77,29.77,13938200
7/23/2018,33.48,34.099998,29.309999,29.450001,29.450001,10042900
7/24/2018,28.799999,29.43,25.25,25.360001,25.360001,5524200
7/25/2018,25.309999,27.15,24.200001,26.49,26.49,3844100
7/26/2018,26.6,27.67,26.200001,26.4,26.4,1477900
7/27/2018,27.74,27.74,24.120001,24.299999,24.299999,1501200
7/30/2018,24.950001,25.25,22.5,22.84,22.84,1365200
7/31/2018,22.5,22.9,22,22.1,22.1,1901500
8/1/2018,23.58,23.6,21.5,22.93,22.93,1572500
8/2/2018,23.129999,23.99,22.559999,23.870001,23.870001,1131200
8/3/2018,24.16,24.370001,23.450001,24.15,24.15,603400
8/6/2018,24.290001,26,24.290001,24.84,24.84,1077200
8/7/2018,25.75,26,24.370001,24.68,24.68,1286700
8/8/2018,24.66,25.4,24.66,24.74,24.74,336200
8/9/2018,24.99,25.82,24.99,25.6,25.6,901600
8/10/2018,25.5,25.9,24.559999,25.82,25.82,471500
8/13/2018,26.879999,28.440001,26.27,26.67,26.67,2081300
8/14/2018,27.35,27.35,24,24.25,24.25,1378400
8/15/2018,26.780001,30,26.110001,29.1,29.1,6160300
8/16/2018,29.4,31.23,27.65,29.27,29.27,3142700
8/17/2018,29.469999,31,28.879999,30.690001,30.690001,1762100
8/20/2018,31.450001,37.459999,31.450001,35.900002,35.900002,6057600
8/21/2018,39.299999,41.75,37.950001,39.939999,39.939999,10261900
8/22/2018,39.32,40.09,36.599998,39,39,5430200
8/23/2018,39.740002,39.84,37.650002,38.25,38.25,3231100
8/24/2018,40,44.369999,39.349998,43.860001,43.860001,8963500
8/27/2018,52.400002,58.68,50,53.439999,53.439999,14945600
8/28/2018,53,54.740002,49.5,51.5,51.5,11042500
8/29/2018,61.619999,62.900002,56.25,62.130001,62.130001,17979000
8/30/2018,59.189999,60.799999,55.549999,59.07,59.07,9331000
8/31/2018,59.75,66.739998,59,65.199997,65.199997,8496700
9/4/2018,69.650002,78,69.029999,77.010002,77.010002,16480700
9/5/2018,86.5,97.360001,73.540001,89.860001,89.860001,20602700
9/6/2018,85,88.68,76.349998,80.099998,80.099998,13565000
9/7/2018,75.010002,84.699997,72.5,77.889999,77.889999,9022400
9/10/2018,82.989998,90.75,82.199997,84.5,84.5,12893300
9/11/2018,89.160004,97.879997,87.5,95.790001,95.790001,15568400
9/12/2018,104.559998,108.269997,97.610001,104.949997,104.949997,18845000
9/13/2018,113.529999,127.269997,109,119.760002,119.760002,21827500
9/14/2018,100.599998,116.389999,97,109.050003,109.050003,16603800
9/17/2018,117.139999,126.099998,114,120.190002,120.190002,11683000
9/18/2018,134.649994,155.100006,132,154.979996,154.979996,19955700
9/19/2018,233.580002,300,151.399994,214.059998,214.059998,31717700
9/20/2018,214.110001,244,158,176.350006,176.350006,20493500
9/21/2018,148.869995,148.880005,121.510002,123,123,16097700
9/24/2018,100.980003,121.790001,97.120003,99.5,99.5,12388800
9/25/2018,119,119.400002,105.089996,107.879997,107.879997,8922400
9/26/2018,114,118.980003,108.769997,114.5,114.5,6793600
9/27/2018,116.089996,137.690002,115.330002,131.300003,131.300003,12958500
9/28/2018,142,144.649994,134,143.619995,143.619995,9996500
10/1/2018,159.899994,173.460007,152.25,164.979996,164.979996,14343600
10/2/2018,158.960007,165.860001,131.5,138.169998,138.169998,8863100
10/3/2018,146.509995,156.970001,143,156.830002,156.830002,7492900
10/4/2018,148.990005,154.070007,141.110001,145.570007,145.570007,5746900
10/5/2018,152.119995,153.600006,134,146.910004,146.910004,5642800
10/8/2018,137.960007,145.800003,136.880005,140,140,3519700
10/9/2018,143,143,127,128.960007,128.960007,4703100
10/10/2018,132.949997,139.440002,122.129997,136.800003,136.800003,4738000
10/11/2018,132,136.539993,130.199997,131.949997,131.949997,2001100
10/12/2018,140,148.520004,136,148.300003,148.300003,4259100
10/15/2018,155,167.350006,151,165.639999,165.639999,6129400
10/16/2018,177.009995,178.850006,151.259995,158.380005,158.380005,7245000
10/17/2018,148,153.259995,142.649994,148.25,148.25,4057000
10/18/2018,145,155.949997,143.539993,152.529999,152.529999,3173400
10/19/2018,155.580002,159.279999,141,145.300003,145.300003,3040800
10/22/2018,143.300003,144.059998,115.5,122.599998,122.599998,5407700
10/23/2018,103.720001,123.900002,101.099998,120.790001,120.790001,4428100
10/24/2018,125.440002,127.800003,108.650002,109.290001,109.290001,2435000
10/25/2018,112,114,106.099998,106.75,106.75,1924200
10/26/2018,103.970001,115.25,103.25,108.080002,108.080002,2404000
10/29/2018,113.809998,114,88.080002,90.68,90.68,3528800
10/30/2018,84.660004,95.400002,84.279999,90.099998,90.099998,2547400
10/31/2018,94.25,101.779999,92.150002,94.790001,94.790001,2373200
11/1/2018,99.75,99.970001,93.080002,98.980003,98.980003,1495800
11/2/2018,99.290001,101.339996,94.099998,99.489998,99.489998,1256200
11/5/2018,97.760002,102.470001,94.550003,100.980003,100.980003,1440500
11/6/2018,102.5,107.75,98.5,106.860001,106.860001,2340000
11/7/2018,116,142.839996,109.190002,139.600006,139.600006,9847400
11/8/2018,134.699997,134.940002,115,118.699997,118.699997,5537400
11/9/2018,114.720001,119.589996,105.279999,108.989998,108.989998,3003700
11/12/2018,114,116.440002,105.550003,113.440002,113.440002,2902000
11/13/2018,113.75,115.860001,109,111.550003,111.550003,2362100
11/14/2018,105.599998,109,99,102.339996,102.339996,2841300
11/15/2018,101.019997,113.849998,100.5,107.269997,107.269997,2431800
11/16/2018,110,112.900002,108.32,110.480003,110.480003,1626900
11/19/2018,110.459999,110.949997,102.269997,106.769997,106.769997,1727500
11/20/2018,100,111.690002,99.349998,104,104,1709900
11/21/2018,107.220001,110.190002,105.260002,109.309998,109.309998,1392700
11/23/2018,110.519997,117.769997,110.519997,116.029999,116.029999,2048300
11/26/2018,120,120.400002,112.599998,114.139999,114.139999,2006900
11/27/2018,112.900002,117.559998,112.050003,114,114,1894800
11/28/2018,115.5,116.010002,109,110.879997,110.879997,1725500
11/29/2018,111.57,111.57,105.050003,107.199997,107.199997,1172000
11/30/2018,106.419998,107.190002,100.57,102.449997,102.449997,1729100
12/3/2018,105.489998,109.349998,98.440002,102.940002,102.940002,3275700
12/4/2018,102.769997,104,100.019997,100.260002,100.260002,849800
12/6/2018,95,99.269997,94.129997,99,99,1206500
12/7/2018,103,104.440002,97.639999,100.25,100.25,1595800
12/10/2018,101,102.470001,96.040001,97.139999,97.139999,972300
12/11/2018,98.510002,98.879997,93,94.07,94.07,1414200
12/12/2018,93.089996,94.5,84.25,84.480003,84.480003,2376300
12/13/2018,85.849998,86.400002,71.389999,75.519997,75.519997,3622100
12/14/2018,70.889999,79.970001,70.889999,75.129997,75.129997,1874600
12/17/2018,74.400002,75.309998,64.059998,65.889999,65.889999,2276600
12/18/2018,72.400002,80.300003,69,76.5,76.5,5593800
12/19/2018,82.389999,82.389999,69.25,71,71,4160800
12/20/2018,80.519997,80.68,74.110001,78.300003,78.300003,4311300
12/21/2018,79.900002,80.040001,71.25,74.870003,74.870003,2147900
12/24/2018,71,73.860001,68.190002,71.379997,71.379997,1031300
12/26/2018,73.489998,73.720001,67.660004,71.5,71.5,1446800
12/27/2018,71,73.18,69.120003,71.080002,71.080002,1051300
12/28/2018,72.709999,77.269997,70.580002,75.150002,75.150002,1493300
12/31/2018,76.989998,76.989998,70.309998,70.540001,70.540001,1540000
1/2/2019,70,72.18,67.769997,70.459999,70.459999,1220900
1/3/2019,69.099998,72,69.099998,70,70,973200
1/4/2019,70.959999,71.900002,68.599998,69.949997,69.949997,1114900
1/7/2019,70.029999,71.940002,68.099998,71.900002,71.900002,1402600
1/8/2019,73.389999,83.339996,73.25,83.260002,83.260002,3926200
1/9/2019,82,87.5,77.099998,79.699997,79.699997,4120200
1/10/2019,80.75,86.120003,79.07,80.400002,80.400002,4131200
1/11/2019,92.480003,103.690002,89.160004,96,96,10871600
1/14/2019,96,106,95.5,100.150002,100.150002,5912300
1/15/2019,99,99.75,82,82.879997,82.879997,15225300
1/16/2019,86,87.620003,81.900002,85.610001,85.610001,4996800
1/17/2019,84.25,86.309998,82.559998,83.449997,83.449997,2973200
1/18/2019,84.900002,86.43,75,77.199997,77.199997,5950200
1/22/2019,78.709999,78.849998,72,72.800003,72.800003,4509600
1/23/2019,73.510002,74.989998,70,71.739998,71.739998,2406900
1/24/2019,71.739998,75.489998,71.5,73.959999,73.959999,2531000
1/25/2019,76.190002,77.620003,74.110001,75.349998,75.349998,2147700
1/28/2019,72.57,82.25,72.519997,81.93,81.93,3654800
1/29/2019,80.360001,81.349998,75.449997,79.059998,79.059998,3212200
1/30/2019,78.089996,81.080002,76.82,77.480003,77.480003,1955700
1/31/2019,77.720001,81.879997,77.5,80.489998,80.489998,2422900
2/1/2019,80.599998,83.400002,80.510002,81.910004,81.910004,2293300
2/4/2019,83,89.879997,82.650002,83.07,83.07,4494300
2/5/2019,84.720001,85.480003,81.089996,83.269997,83.269997,2511400
2/6/2019,82,82.349998,77.629997,78.150002,78.150002,2816700
2/7/2019,76.809998,80.730003,76.510002,79.989998,79.989998,1983100
2/8/2019,78.510002,79.269997,76.870003,79.239998,79.239998,1807900
2/11/2019,79.400002,79.589996,75.349998,75.419998,75.419998,1730900
2/12/2019,75.389999,78.279999,75.25,75.940002,75.940002,1697000
2/13/2019,76.449997,77.900002,75.709999,77.290001,77.290001,1504600
2/14/2019,77.230003,77.550003,75.400002,76.620003,76.620003,986800
2/15/2019,78,78.360001,75.800003,76.489998,76.489998,1564200
2/19/2019,75.970001,77.160004,75.860001,77.029999,77.029999,944500
2/20/2019,77.25,82.5,77.25,81.099998,81.099998,4356400
2/21/2019,81.480003,83.099998,78.410004,79.199997,79.199997,2177000
2/22/2019,79,79.970001,77.260002,79.07,79.07,1271900
2/25/2019,79.25,79.650002,77.349998,77.389999,77.389999,1354500
2/26/2019,77.389999,80.550003,76.599998,78.800003,78.800003,1883900
2/27/2019,79.230003,80.459999,78.730003,79.300003,79.300003,993100
2/28/2019,79.800003,82.779999,79.57,81.309998,81.309998,1993800
3/1/2019,82.519997,82.809998,78.940002,79.510002,79.510002,1617900
3/4/2019,79.599998,79.989998,76.080002,77.25,77.25,1937200
3/5/2019,77,78.440002,76.629997,76.889999,76.889999,1409800
3/6/2019,77.900002,78.68,75.75,75.860001,75.860001,1512500
3/7/2019,75.790001,76.129997,69.610001,69.720001,69.720001,3585200
3/8/2019,64.900002,70,64.449997,70,70,2991400
3/11/2019,69.300003,70.050003,67.57,70,70,1618000
3/12/2019,70,73.75,69.110001,72.150002,72.150002,1608500
3/13/2019,73.470001,73.75,70.5,71.800003,71.800003,1205600
3/14/2019,70.650002,72.589996,70,72.290001,72.290001,1202400
3/15/2019,72.949997,72.949997,71,72.5,72.5,1418100
3/18/2019,72.5,73.769997,70.260002,72.239998,72.239998,3530500
3/19/2019,75.150002,75.550003,69.300003,69.790001,69.790001,4219300
3/20/2019,69.389999,71.25,68.25,70.730003,70.730003,1821100
3/21/2019,69.660004,71.25,69.300003,70.25,70.25,1097300
3/22/2019,69.739998,69.879997,66.5,67.160004,67.160004,1610600
3/25/2019,67.150002,69.5,67.010002,67.779999,67.779999,1250000
3/26/2019,68.18,68.589996,66.260002,66.949997,66.949997,1152300
3/27/2019,66.5,66.870003,63.400002,64.849998,64.849998,1431100
3/28/2019,64.059998,66.25,62.650002,65.940002,65.940002,1097900
3/29/2019,66,66.400002,64.959999,65.519997,65.519997,784800
4/1/2019,64.800003,65.209999,62.52,63.009998,63.009998,2289500
4/2/2019,62.700001,64.849998,62.52,63.73,63.73,1268000
4/3/2019,63.5,64.849998,63.18,63.380001,63.380001,706200
