Date,Open,High,Low,Close,Adj Close,Volume
9/18/2018,11.51,12.27,11.45,12.2,12.2,4198400
9/19/2018,12.5,13.48,11.22,12.02,12.02,6353600
9/20/2018,12.49,12.99,12,12.9,12.9,3230000
9/21/2018,12.74,13.05,12.42,12.6,12.6,2462300
9/24/2018,12.49,12.74,12.22,12.33,12.33,1486600
9/25/2018,12.58,12.75,12.2,12.58,12.58,1958600
9/26/2018,12.66,12.71,12.13,12.5,12.5,2673200
9/27/2018,12.45,12.56,11.5,11.65,11.65,1813700
9/28/2018,11.39,12.74,11.26,12.71,12.71,1952100
10/1/2018,13,13.03,12,12.45,12.45,1864400
10/2/2018,12.31,12.44,11.56,11.88,11.88,2402700
10/3/2018,11.93,12.11,11.52,12,12,1358000
10/4/2018,12.06,12.08,11.67,12.04,12.04,1588300
10/5/2018,12,12.88,11.84,12.02,12.02,3806200
10/9/2018,12.25,12.61,12.1,12.3,12.3,1569500
10/10/2018,12.29,12.81,11.82,12.67,12.67,2472200
10/11/2018,12.49,13.68,12.3,13.3,13.3,3941900
10/12/2018,13.61,14.24,13.53,13.9,13.9,2793400
10/15/2018,14.26,14.9,14,14.87,14.87,2593500
10/16/2018,15.49,15.5,13.07,13.5,13.5,4238500
10/17/2018,12.74,13.85,12.05,13.67,13.67,3123600
10/18/2018,13.9,14.1,13.27,13.4,13.4,1609400
10/19/2018,13.41,13.5,12.06,12.12,12.12,2423700
10/22/2018,12.01,12.45,10.51,10.8,10.8,3833600
10/23/2018,10,11.25,9.55,10.2,10.2,4281600
10/24/2018,10.55,10.73,9.78,10.14,10.14,1384900
10/25/2018,10.08,10.73,9.87,10.05,10.05,1381100
10/26/2018,9.86,10.02,9.52,9.85,9.85,1702700
10/29/2018,10.05,10.09,8.21,8.33,8.33,2432900
10/30/2018,8.1,8.82,8.1,8.48,8.48,1540300
10/31/2018,8.85,9.35,8.67,9.21,9.21,1531600
11/1/2018,9.18,9.42,8.86,8.98,8.98,1151600
11/2/2018,9.05,9.2,8.86,9.04,9.04,1018000
11/5/2018,9.09,9.42,8.6,9.4,9.4,1244000
11/6/2018,9.42,10.19,9.13,9.82,9.82,1857000
11/7/2018,10.37,10.47,9.61,10.14,10.14,1773500
11/8/2018,9.96,10.05,9.41,9.45,9.45,1346100
11/9/2018,9.26,9.28,8.7,8.7,8.7,1151900
11/12/2018,8.79,8.9,8.11,8.14,8.14,1536000
