Date,Open,High,Low,Close,Adj Close,Volume
9/18/2017,10.37,10.59,10.28,10.56,10.56,2163300
9/19/2017,10.64,10.89,10.52,10.79,10.79,2769400
9/20/2017,10.81,10.87,10.53,10.64,10.64,2115000
9/21/2017,10.65,10.7,10.32,10.47,10.47,1523000
9/22/2017,10.45,10.45,10.22,10.44,10.44,1295600
9/25/2017,10.42,10.75,10.4,10.53,10.53,1291400
9/26/2017,10.58,10.63,10.49,10.57,10.57,708200
9/27/2017,10.63,10.83,10.61,10.77,10.77,1638300
9/28/2017,10.78,10.83,10.65,10.71,10.71,825400
9/29/2017,10.74,10.77,10.62,10.72,10.72,880200
10/2/2017,10.77,11.32,10.75,11.32,11.32,2305600
10/3/2017,11.39,11.77,11.21,11.41,11.41,3529700
10/4/2017,11.58,11.9,11.43,11.87,11.87,2740500
10/5/2017,11.98,12.74,11.88,12.67,12.67,5990300
10/6/2017,12.88,13.24,11.79,12.48,12.48,6301800
10/10/2017,12.84,12.93,12.5,12.83,12.83,3110300
10/11/2017,12.67,13.78,12.62,13.59,13.59,8349200
10/12/2017,13.59,13.75,12.85,13.07,13.07,6177000
10/13/2017,12.86,13.07,12.55,12.87,12.87,4448800
10/16/2017,13.12,13.33,12.99,13.13,13.13,3384600
10/17/2017,12.91,13.03,11.82,12.52,12.52,6930600
10/18/2017,12.37,12.47,12.01,12.25,12.25,2427700
10/19/2017,12.12,12.21,11.71,11.82,11.82,3845500
10/20/2017,11.93,12.89,11.93,12.76,12.76,3641200
10/23/2017,13.02,13.25,12.81,12.93,12.93,3606300
10/24/2017,13.09,13.13,12.65,12.93,12.93,1981800
10/25/2017,13.06,13.13,12.86,13.03,13.03,2100700
10/26/2017,13.05,13.1,12.89,12.95,12.95,987600
10/27/2017,12.96,12.99,12.68,12.79,12.79,1406200
10/30/2017,14.11,15.72,14.11,15.22,15.22,14702000
10/31/2017,15.49,17.07,15.29,16.18,16.18,18343200
11/1/2017,16.690001,17.040001,15.95,16.49,16.49,9680700
11/2/2017,16.6,16.610001,15.89,16.129999,16.129999,4531000
11/3/2017,15.91,16.950001,15.91,16.93,16.93,6581800
11/6/2017,17.27,19.41,17.129999,19.370001,19.370001,14657600
11/7/2017,19.83,21.719999,19.139999,19.76,19.76,18149700
11/8/2017,20.120001,21,19.059999,19.690001,19.690001,13701600
11/9/2017,19.459999,19.950001,18.030001,19.35,19.35,9794600
11/10/2017,19.639999,20.34,19.48,19.98,19.98,9296900
11/13/2017,20.620001,20.75,20.120001,20.379999,20.379999,7818300
11/14/2017,20,20.33,19.280001,19.959999,19.959999,7492900
11/15/2017,19.42,19.6,18.18,18.459999,18.459999,8652100
11/16/2017,18,18.01,16.620001,17.26,17.26,8989000
11/17/2017,17.07,19,16.719999,18.450001,18.450001,8694500
11/20/2017,18.85,19.25,18.34,18.59,18.59,5958300
11/21/2017,18.67,18.75,18.1,18.360001,18.360001,3079900
11/22/2017,18.440001,19.41,18.370001,19.35,19.35,4389200
11/23/2017,19.360001,19.58,18.83,18.950001,18.950001,2828900
11/24/2017,19.200001,19.24,18.860001,19.040001,19.040001,2487300
11/27/2017,19.27,20.01,19.129999,19.629999,19.629999,6203600
11/28/2017,20,20.35,17.91,18.85,18.85,6768900
11/29/2017,18.540001,18.74,17.35,17.51,17.51,6053100
11/30/2017,17.18,18.65,17.16,18.43,18.43,5064400
12/1/2017,18.6,18.75,17.91,18,18,2872100
12/4/2017,18.290001,18.42,18.01,18.25,18.25,1854400
12/5/2017,18.629999,19.190001,18.280001,18.76,18.76,4623500
12/6/2017,18.76,18.82,18.17,18.32,18.32,2174300
12/7/2017,18.4,18.75,18.129999,18.25,18.25,1952600
12/8/2017,18.9,19.530001,18.719999,19.42,19.42,4940000
12/11/2017,19.639999,20.01,19.200001,19.91,19.91,4484900
12/12/2017,20.01,20.190001,19.66,19.99,19.99,3256700
12/13/2017,20,20,19.049999,19.18,19.18,2914800
12/14/2017,19.200001,19.75,19.190001,19.530001,19.530001,1744900
12/15/2017,19.6,19.75,19.23,19.52,19.52,2216900
12/18/2017,19.83,20.700001,19.77,20.620001,20.620001,5717700
12/19/2017,20.65,21.98,20.629999,21.85,21.85,7521500
12/20/2017,21.99,22.17,20.360001,21.129999,21.129999,7329900
12/21/2017,21.08,21.959999,20.719999,21.9,21.9,4113100
12/22/2017,22.23,23.780001,21.9,23.120001,23.120001,8794400
12/27/2017,24.6,28.219999,24.200001,27.77,27.77,11676100
12/28/2017,28.139999,30.75,27.93,30.41,30.41,12813900
12/29/2017,31.09,33.09,25.809999,29.74,29.74,19419900
1/2/2018,30.690001,32.400002,30.26,32.369999,32.369999,8770000
1/3/2018,33.549999,36.25,32.25,35.900002,35.900002,11560100
1/4/2018,34,34.450001,29.07,32.32,32.32,14403800
1/5/2018,30,34.849998,29.75,34,34,9516900
1/8/2018,35,39.900002,34.700001,39.860001,39.860001,13654700
1/9/2018,39.900002,44,37.759998,42.07,42.07,16747100
1/10/2018,43.009998,43.98,40.09,41.919998,41.919998,7256400
1/11/2018,40.150002,41.25,37.43,37.560001,37.560001,10507000
1/12/2018,35.799999,36.299999,30.4,32.349998,32.349998,15177900
1/15/2018,30,36.810001,29.5,36.5,36.5,7973000
1/16/2018,37.889999,39.09,35.259998,36.52,36.52,9812000
1/17/2018,37.73,38.599998,36.549999,37.610001,37.610001,5631600
1/18/2018,36,37.400002,35.619999,36.959999,36.959999,6510600
1/19/2018,37.799999,38.150002,37.119999,37.48,37.48,3181700
1/22/2018,37.950001,38.09,36.439999,37.380001,37.380001,4012700
1/23/2018,36.900002,37.290001,35.849998,36.639999,36.639999,3696100
1/24/2018,36,36.439999,34.580002,34.869999,34.869999,4772200
1/25/2018,34.43,34.73,31.09,31.68,31.68,7258700
1/26/2018,31.5,35.099998,30.73,35.09,35.09,8208400
1/29/2018,35.619999,35.630001,32.080002,33.099998,33.099998,5264500
1/30/2018,31.860001,32.75,30.34,30.48,30.48,7042200
1/31/2018,30.85,32.279999,29.879999,31.02,31.02,5756400
2/1/2018,30.889999,31.77,27,27.549999,27.549999,9444200
2/2/2018,26.700001,26.75,23.290001,24.110001,24.110001,12169700
2/5/2018,21.51,27.65,20.85,24.209999,24.209999,12608100
2/6/2018,24.959999,28.85,24.799999,28.799999,28.799999,9828300
2/7/2018,30.76,31.35,26.66,27.620001,27.620001,10058400
2/8/2018,28.07,28.940001,26.309999,27.15,27.15,4615700
2/9/2018,27.219999,28.389999,25.23,28.17,28.17,6876500
2/12/2018,28.18,29.5,26.549999,26.9,26.9,5096800
2/13/2018,27.1,27.469999,26.120001,26.719999,26.719999,2828200
2/14/2018,28.190001,28.5,27.120001,27.15,27.15,5538000
2/15/2018,27.690001,28.18,27.200001,27.99,27.99,2984100
2/16/2018,26.91,28.030001,26.43,26.5,26.5,3969000
2/20/2018,27.379999,30,27.01,29.6,29.6,8067800
2/21/2018,29.6,29.879999,28.120001,28.74,28.74,4656200
2/22/2018,28.75,29.360001,28.26,28.43,28.43,2556500
2/23/2018,28.75,28.75,27.709999,27.889999,27.889999,2195600
2/26/2018,28.389999,28.389999,27.059999,27.280001,27.280001,2395000
2/27/2018,27.15,27.219999,25.610001,26.450001,26.450001,4513600
2/28/2018,26.15,27.77,25.68,27.35,27.35,4236300
3/1/2018,27.690001,29.969999,26.99,29.959999,29.959999,6818700
3/2/2018,29.280001,29.91,28.629999,28.99,28.99,5144600
3/5/2018,29.200001,32.619999,29.110001,32.369999,32.369999,8941200
3/6/2018,33.66,34.549999,32.619999,32.93,32.93,9396500
3/7/2018,32.380001,33.639999,31.190001,31.42,31.42,5520700
3/8/2018,32,32.549999,30.629999,31.809999,31.809999,4749400
3/9/2018,32.099998,32.310001,30.809999,30.950001,30.950001,4182100
3/12/2018,31.219999,32.509998,30.1,32.490002,32.490002,4936200
3/13/2018,32.119999,32.490002,31.620001,31.940001,31.940001,4498300
3/14/2018,31.5,31.84,30.92,31.1,31.1,2841000
3/15/2018,31.08,31.98,30.700001,31.209999,31.209999,3975400
3/16/2018,31.09,33.060001,30.860001,32.52,32.52,9814000
3/19/2018,32.700001,33.91,32.59,33.68,33.68,5777800
3/20/2018,33.849998,34.25,32.77,32.959999,32.959999,4091000
3/21/2018,32.810001,33.689999,32.439999,33.110001,33.110001,2939100
3/22/2018,32.790001,32.939999,31.34,31.690001,31.690001,4001600
3/23/2018,33.560001,34.150002,32.849998,33.41,33.41,7043400
3/26/2018,34.009998,34.5,33.349998,34.18,34.18,5112400
3/27/2018,34.25,34.709999,32.830002,33.310001,33.310001,4877000
3/28/2018,33,33.27,31.370001,32.25,32.25,5396800
3/29/2018,32.299999,34.209999,31.950001,33.66,33.66,5261700
4/2/2018,32.790001,33.240002,31.5,32.009998,32.009998,5266100
4/3/2018,32.209999,33.02,27.530001,27.99,27.99,10178100
4/4/2018,27.309999,28.799999,25.35,27.639999,27.639999,13509100
4/5/2018,28.35,29.049999,27.23,28.49,28.49,7526800
4/6/2018,28.01,28.17,26.73,27.690001,27.690001,5612700
4/9/2018,28.049999,28.17,25.639999,25.74,25.74,5809100
4/10/2018,25.5,28,23.879999,27.51,27.51,11355900
4/11/2018,27.52,28.459999,26.870001,27.66,27.66,5355200
4/12/2018,28.110001,28.379999,27.48,27.67,27.67,2740300
4/13/2018,27.9,30.65,27.469999,29.84,29.84,6777900
4/16/2018,31.040001,31.459999,30.450001,30.9,30.9,4953300
4/17/2018,30.85,31.290001,29.549999,29.860001,29.860001,3543700
4/18/2018,30.01,30.92,29.59,30.6,30.6,3139400
4/19/2018,30.32,30.620001,29.639999,30.25,30.25,3397900
4/20/2018,30.23,30.879999,29.889999,30.01,30.01,3025100
4/23/2018,29.799999,30.27,27.959999,28.15,28.15,4210300
4/24/2018,28.08,28.879999,27.74,28.24,28.24,2598400
4/25/2018,28.26,28.4,27.049999,27.25,27.25,2544600
4/26/2018,27.540001,27.83,27.030001,27.24,27.24,1780800
4/27/2018,27.459999,27.49,27,27.34,27.34,1142600
4/30/2018,27.790001,30.120001,27.5,30.110001,30.110001,4341600
5/1/2018,29.620001,29.940001,29.049999,29.49,29.49,2512700
5/2/2018,29.379999,30.700001,28.76,29.67,29.67,3592100
5/3/2018,29.01,30.4,29.01,29.959999,29.959999,2796100
5/4/2018,30.09,30.59,29.73,29.969999,29.969999,2366100
5/7/2018,30.280001,30.92,30.129999,30.25,30.25,2903000
5/8/2018,30.309999,30.790001,29.5,29.629999,29.629999,3048200
5/9/2018,29.75,30.219999,29.57,29.870001,29.870001,1982600
5/10/2018,30.18,30.18,29.639999,29.75,29.75,1380600
5/11/2018,29.85,30.549999,29.65,30.299999,30.299999,1820800
5/14/2018,31.77,33.330002,31.709999,32.380001,32.380001,6968300
5/15/2018,32.509998,32.779999,31.940001,32.509998,32.509998,3356100
5/16/2018,32.5,32.860001,32.009998,32.009998,32.009998,2076600
5/17/2018,32,33.650002,31.41,33.139999,33.139999,5279400
5/18/2018,33.27,36.080002,33.02,36.040001,36.040001,6417800
